,ICP.M.U2.N.FDPXAT.4.INX,ICP.M.U2.N.NRGY00.4.INX,ICP.M.U2.S.000000.3.INX,ICP.M.U2.S.FOODUN.3.INX,ICP.M.U2.S.IGXE00.3.INX,ICP.M.U2.S.SERV00.3.INX
2015Jun,119.96,137.09,117.99782,121.21780,106.55649,119.19356
2015May,120.00,137.23,117.99500,121.38215,106.55465,119.17396
2015Apr,120.15,135.95,117.67339,121.11225,106.49536,118.77137
2015Mar,120.12,135.82,117.55677,120.66371,106.41794,118.71251
2015Feb,120.01,133.50,117.32373,120.78070,106.35153,118.73229
2015Jan,119.95,131.43,116.92453,120.08950,106.32250,118.42616
2014Dec,119.85,135.75,117.28901,119.80171,106.31121,118.41989
2014Nov,119.87,140.37,117.68753,120.11934,106.28682,118.38221
2014Oct,120.06,142.33,117.77891,119.94833,106.27315,118.21328
2014Sep,120.08,143.60,117.88243,119.89616,106.32305,118.16900
2014Aug,120.20,143.39,117.82921,119.27674,106.34879,118.19731
2014Jul,120.21,144.19,117.77462,118.98387,106.24117,118.03475
2014Jun,120.07,144.53,117.73687,118.96170,106.24078,117.91443
2014May,120.21,144.20,117.58175,118.86477,106.30539,117.59263
2014Apr,120.11,144.30,117.65871,119.52598,106.35287,117.64565
2014Mar,120.21,144.42,117.64370,119.77933,106.40787,117.51703
2014Feb,120.25,144.92,117.66161,120.28863,106.49373,117.32745
2014Jan,120.24,144.84,117.62609,121.16440,106.36942,117.20273
2013Dec,120.09,144.86,117.47862,120.97157,106.34610,116.96728
2013Nov,120.04,144.05,117.32955,119.82274,106.32293,117.03382
2013Oct,119.87,145.19,117.30797,120.02133,106.30365,116.77060
2013Sep,119.67,147.02,117.52503,120.97977,106.18676,116.86061
2013Aug,119.64,146.33,117.47061,122.25996,106.10076,116.75995
2013Jul,119.61,145.61,117.35977,122.23848,106.21605,116.60454
2013Jun,119.43,144.39,117.15930,122.32436,106.31992,116.41920
2013May,119.33,144.22,116.99091,121.38717,106.31489,116.27782
2013Apr,119.10,145.98,116.81972,120.32210,106.27295,115.78089
2013Mar,119.09,147.45,117.09032,119.72436,106.23909,116.27945
2013Feb,119.02,148.38,116.85607,119.14132,106.03805,115.83658
2013Jan,118.78,146.67,116.72734,119.60429,106.07860,115.84068
2012Dec,118.68,144.84,116.49778,119.17184,106.12229,115.78341
2012Nov,118.50,145.63,116.32392,118.75995,106.06735,115.36244
2012Oct,118.13,147.76,116.43620,118.42741,105.92635,115.40213
2012Sep,117.85,148.43,116.26346,117.59963,105.79984,115.20732
2012Aug,117.72,146.82,115.96683,117.07906,105.60547,115.14066
2012Jul,117.60,143.36,115.53120,116.26343,105.62310,115.00937
2012Jun,117.63,142.15,115.33730,116.49135,105.64057,114.76655
2012May,117.57,144.55,115.36205,115.40729,105.55674,114.58870
2012Apr,117.56,146.60,115.46977,115.49540,105.45641,114.51316
2012Mar,117.47,145.03,115.11444,115.52361,105.31819,114.17790
2012Feb,117.27,142.78,114.76366,115.16745,105.18587,114.06725
2012Jan,116.94,141.17,114.43661,114.13393,105.11808,113.94320
2011Dec,116.62,137.64,113.97761,114.16176,105.04964,113.73731
2011Nov,116.48,137.75,113.83969,114.09806,104.97566,113.49804
2011Oct,116.22,136.86,113.62451,113.63688,104.85880,113.42422
2011Sep,115.89,136.06,113.34543,113.35886,104.64776,113.27921
2011Aug,115.62,134.86,112.94778,113.09447,104.15208,113.13177
2011Jul,115.27,135.11,112.77274,112.93942,103.86583,112.99532
2011Jun,114.82,133.98,112.71893,112.99006,104.42532,112.81245
2011May,114.39,134.69,112.65986,113.37804,104.36467,112.57318
2011Apr,113.82,135.56,112.60208,113.13681,104.23353,112.54549
2011Mar,113.28,133.62,112.15884,113.02494,104.03216,112.20023
2011Feb,112.69,130.34,111.64040,112.78754,103.80017,112.01926
2011Jan,112.25,129.24,111.41960,112.27554,103.93654,111.79583
2010Dec,111.91,125.49,110.93793,112.42333,103.86965,111.56439
2010Nov,111.73,122.68,110.53734,112.01508,103.79677,111.45257
2010Oct,111.51,121.72,110.32355,111.62554,103.68298,111.38241
2010Sep,111.33,121.02,110.12992,111.77291,103.62104,111.13136
2010Aug,111.35,120.66,110.05775,111.79534,103.72921,110.96804
2010Jul,111.14,120.83,109.93334,111.45682,103.69280,110.76717
2010Jun,111.07,120.77,109.79945,110.85460,103.59810,110.65016
2010May,110.98,121.23,109.72010,110.72497,103.44346,110.58956
2010Apr,111.00,120.55,109.54526,111.57340,103.32929,110.31536
