,BSI.M.U2.Y.V.M10.X.1.U2.2300.Z01.E
2015May,6270410
2015Apr,6191219
2015Mar,6168033
2015Feb,6099027
2015Jan,6042179
2014Dec,5915726
2014Nov,5814505
2014Oct,5743500
2014Sep,5693406
2014Aug,5656575
2014Jul,5605684
2014Jun,5558876
2014May,5537872
2014Apr,5503956
2014Mar,5488049
2014Feb,5477545
2014Jan,5441087
2013Dec,5391378
2013Nov,5420452
2013Oct,5392276
2013Sep,5345902
2013Aug,5336025
2013Jul,5301867
2013Jun,5267273
2013May,5268327
2013Apr,5229709
2013Mar,5198551
2013Feb,5159970
2013Jan,5120516
2012Dec,5107477
2012Nov,5101066
2012Oct,5074669
2012Sep,5023530
2012Aug,5012462
2012Jul,4970663
2012Jun,4913172
2012May,4879669
2012Apr,4821668
2012Mar,4856529
2012Feb,4830347
2012Jan,4819665
2011Dec,4805220
2011Nov,4792744
2011Oct,4766967
2011Sep,4775455
2011Aug,4771095
2011Jul,4735038
2011Jun,4730268
2011May,4707863
2011Apr,4712943
2011Mar,4725125
2011Feb,4708925
2011Jan,4707494
2010Dec,4706634
2010Nov,4686255
2010Oct,4679646
2010Sep,4674426
2010Aug,4695141
2010Jul,4676957
2010Jun,4677323
2010May,4651753
2010Apr,4629352
2010Mar,4579760
2010Feb,4572973
2010Jan,4550413
2009Dec,4500714
2009Nov,4466325
2009Oct,4445460
2009Sep,4397262
2009Aug,4348188
2009Jul,4307986
2009Jun,4262128
2009May,4210721
2009Apr,4193815
2009Mar,4149419
2009Feb,4132521
2009Jan,4090754
2008Dec,3990592
2008Nov,3967781
2008Oct,3972951
2008Sep,3883325
2008Aug,3824715
2008Jul,3828027
2008Jun,3860815
2008May,3856249
2008Apr,3841105
2008Mar,3862736
2008Feb,3843285
2008Jan,3854735
2007Dec,3839881
2007Nov,3848408
2007Oct,3827734
2007Sep,3831663
2007Aug,3806919
2007Jul,3820368
2007Jun,3793538
2007May,3775004
2007Apr,3747432
2007Mar,3747944
2007Feb,3719452
2007Jan,3696100
2006Dec,3697864
2006Nov,3617979
2006Oct,3589972
2006Sep,3587402
2006Aug,3566596
2006Jul,3554117
2006Jun,3557742
2006May,3552909
2006Apr,3525995
2006Mar,3489137
2006Feb,3471693
2006Jan,3446677
2005Dec,3422070
2005Nov,3388917
2005Oct,3370455
2005Sep,3339532
2005Aug,3322805
2005Jul,3303183
