,BSI.M.U2.N.V.M30.X.1.U2.2300.Z01.E
2015May,10604701
2015Apr,10568264
2015Mar,10470282
2015Feb,10423958
2015Jan,10402627
2014Dec,10315177
2014Nov,10197291
2014Oct,10104855
2014Sep,10079000
2014Aug,10070684
2014Jul,10019936
2014Jun,9988735
2014May,9973508
2014Apr,9903900
2014Mar,9881404
2014Feb,9867300
2014Jan,9855508
2013Dec,9852276
2013Nov,9888370
2013Oct,9859616
2013Sep,9846917
2013Aug,9885015
2013Jul,9841629
2013Jun,9850068
2013May,9856729
2013Apr,9855042
2013Mar,9805940
2013Feb,9757020
2013Jan,9748954
2012Dec,9809072
2012Nov,9761126
2012Oct,9756903
2012Sep,9701779
2012Aug,9688555
2012Jul,9712739
2012Jun,9683472
2012May,9646224
2012Apr,9608334
2012Mar,9605915
2012Feb,9505551
2012Jan,9495572
2011Dec,9535393
2011Nov,9448370
2011Oct,9436927
2011Sep,9465987
2011Aug,9446145
2011Jul,9405889
2011Jun,9404393
2011May,9392024
2011Apr,9391529
2011Mar,9328820
2011Feb,9298730
2011Jan,9309256
2010Dec,9320853
2010Nov,9270144
2010Oct,9257408
2010Sep,9248129
2010Aug,9251711
2010Jul,9242826
2010Jun,9256591
2010May,9427112
2010Apr,9399910
2010Mar,9313208
2010Feb,9302699
2010Jan,9325434
2009Dec,9381507
2009Nov,9340347
2009Oct,9361393
2009Sep,9377479
2009Aug,9379218
2009Jul,9420045
2009Jun,9456614
2009May,9462870
2009Apr,9490198
2009Mar,9406757
2009Feb,9414410
2009Jan,9400041
2008Dec,9423408
2008Nov,9367097
2008Oct,9326230
2008Sep,9198871
2008Aug,9133416
2008Jul,9109246
2008Jun,9077367
2008May,9060974
2008Apr,8972554
2008Mar,8877517
2008Feb,8806372
2008Jan,8786117
2007Dec,8691867
2007Nov,8593805
2007Oct,8500347
2007Sep,8395520
2007Aug,8304182
2007Jul,8298131
2007Jun,8242551
2007May,8166823
2007Apr,8076629
2007Mar,8014723
2007Feb,7856577
2007Jan,7825237
2006Dec,7802022
2006Nov,7629473
2006Oct,7568910
2006Sep,7545767
2006Aug,7441226
2006Jul,7417901
2006Jun,7407739
2006May,7372088
2006Apr,7341142
2006Mar,7212918
2006Feb,7153006
2006Jan,7120534
2005Dec,7130670
2005Nov,7001166
2005Oct,6968588
2005Sep,6925241
2005Aug,6869183
2005Jul,6889246
2005Jun,6837023
2005May,6765830
2005Apr,6713297
2005Mar,6627776
2005Feb,6599810
2005Jan,6581635
2004Dec,6568176
2004Nov,6469650
2004Oct,6436042
2004Sep,6376641
2004Aug,6345512
2004Jul,6362249
2004Jun,6334158
2004May,6303753
2004Apr,6279744
2004Mar,6225884
2004Feb,6197448
2004Jan,6172394
2003Dec,6180922
2003Nov,6119711
2003Oct,6069018
2003Sep,6017976
2003Aug,6027513
2003Jul,6028347
2003Jun,6020728
2003May,6021151
2003Apr,5977504
2003Mar,5889676
2003Feb,5845442
2003Jan,5805923
2002Dec,5807825
2002Nov,5714501
2002Oct,5643922
2002Sep,5622655
2002Aug,5576687
2002Jul,5562731
2002Jun,5569629
2002May,5549587
2002Apr,5506616
2002Mar,5468342
2002Feb,5431228
2002Jan,5430255
2001Dec,5446737
2001Nov,5343832
2001Oct,5289730
2001Sep,5263161
2001Aug,5211887
2001Jul,5209922
2001Jun,5216143
2001May,5174256
2001Apr,5135593
2001Mar,5090546
2001Feb,5047544
2001Jan,5026837
2000Dec,4910328
2000Nov,4832421
2000Oct,4804690
2000Sep,4794882
2000Aug,4798357
2000Jul,4802374
2000Jun,4805383
2000May,4820008
2000Apr,4826279
2000Mar,4768884
2000Feb,4738473
2000Jan,4723291
