,STS.M.I6.N.PRIN.NS0021.4.000
2014Aug,105.56
2014Jul,105.59
2014Jun,105.56
2014May,105.50
2014Apr,105.49
2014Mar,105.39
2014Feb,105.45
2014Jan,105.52
2013Dec,105.40
2013Nov,105.37
2013Oct,105.48
2013Sep,105.62
2013Aug,105.73
2013Jul,105.64
2013Jun,105.69
2013May,105.74
2013Apr,105.82
2013Mar,105.97
2013Feb,105.97
2013Jan,105.91
2012Dec,105.75
2012Nov,105.75
2012Oct,105.80
2012Sep,105.72
2012Aug,105.38
2012Jul,105.08
2012Jun,105.12
2012May,105.22
2012Apr,105.26
2012Mar,105.01
2012Feb,104.75
2012Jan,104.36
2011Dec,104.01
2011Nov,104.11
2011Oct,104.21
2011Sep,104.33
2011Aug,104.31
2011Jul,104.26
2011Jun,104.16
2011May,104.05
2011Apr,103.87
2011Mar,103.39
2011Feb,103.02
2011Jan,102.31
2010Dec,101.46
2010Nov,101.11
2010Oct,100.94
2010Sep,100.76
2010Aug,100.43
2010Jul,100.17
2010Jun,100.01
2010May,99.79
2010Apr,99.38
2010Mar,98.85
2010Feb,98.64
2010Jan,98.47
2009Dec,98.16
2009Nov,98.13
2009Oct,98.15
2009Sep,98.20
2009Aug,98.16
2009Jul,98.03
2009Jun,98.07
2009May,98.13
2009Apr,98.35
2009Mar,98.63
2009Feb,98.97
2009Jan,99.38
2008Dec,100.26
2008Nov,100.99
2008Oct,101.88
2008Sep,102.33
2008Aug,102.23
2008Jul,102.11
2008Jun,101.55
2008May,101.09
2008Apr,100.80
2008Mar,100.42
2008Feb,100.07
2008Jan,99.59
2007Dec,98.97
2007Nov,98.87
2007Oct,98.76
2007Sep,98.46
2007Aug,98.19
2007Jul,97.97
2007Jun,97.73
2007May,97.64
2007Apr,97.43
2007Mar,96.95
2007Feb,96.68
2007Jan,96.40
2006Dec,95.84
2006Nov,95.82
2006Oct,95.81
2006Sep,95.52
2006Aug,95.47
2006Jul,95.31
2006Jun,94.87
2006May,94.72
2006Apr,94.38
2006Mar,94.00
2006Feb,93.72
2006Jan,93.53
2005Dec,92.95
2005Nov,92.80
2005Oct,92.72
2005Sep,92.51
2005Aug,92.40
2005Jul,92.32
2005Jun,92.39
2005May,92.33
2005Apr,92.35
2005Mar,92.40
2005Feb,92.20
2005Jan,92.14
2004Dec,91.60
2004Nov,91.49
2004Oct,91.52
2004Sep,91.26
2004Aug,91.11
2004Jul,90.95
2004Jun,90.67
2004May,90.52
2004Apr,90.27
2004Mar,89.84
2004Feb,89.33
2004Jan,89.09
2003Dec,88.87
2003Nov,88.92
2003Oct,88.84
2003Sep,88.85
2003Aug,88.76
2003Jul,88.76
2003Jun,88.77
2003May,88.83
2003Apr,88.93
2003Mar,89.01
2003Feb,88.90
2003Jan,88.68
2002Dec,88.42
2002Nov,88.32
2002Oct,88.44
2002Sep,88.42
2002Aug,88.33
2002Jul,88.27
2002Jun,88.09
2002May,88.07
2002Apr,88.05
2002Mar,87.82
2002Feb,87.67
2002Jan,87.65
2001Dec,87.40
2001Nov,87.47
2001Oct,87.66
2001Sep,87.81
2001Aug,87.86
2001Jul,87.84
2001Jun,87.96
2001May,87.96
2001Apr,87.88
2001Mar,87.79
2001Feb,87.65
2001Jan,87.46
2000Dec,87.27
2000Nov,87.27
2000Oct,87.14
2000Sep,86.91
2000Aug,86.64
2000Jul,86.53
2000Jun,86.28
2000May,86.09
2000Apr,85.83
2000Mar,85.54
2000Feb,85.31
2000Jan,85.03
1999Dec,84.92
1999Nov,84.82
1999Oct,84.75
1999Sep,84.57
1999Aug,84.46
1999Jul,84.37
1999Jun,84.17
1999May,84.14
1999Apr,84.11
1999Mar,84.09
1999Feb,84.13
1999Jan,84.13
1998Dec,84.25
1998Nov,84.36
1998Oct,84.46
1998Sep,84.67
1998Aug,84.78
1998Jul,84.91
1998Jun,84.95
1998May,85.01
1998Apr,85.06
1998Mar,85.05
1998Feb,85.02
1998Jan,84.95
1997Dec,84.83
1997Nov,84.88
1997Oct,84.88
1997Sep,84.84
1997Aug,84.72
1997Jul,84.62
1997Jun,84.53
1997May,84.53
1997Apr,84.39
1997Mar,84.15
1997Feb,84.11
1997Jan,84.02
1996Dec,83.95
1996Nov,83.93
1996Oct,83.96
1996Sep,84.02
1996Aug,84.01
1996Jul,84.07
1996Jun,84.14
1996May,84.22
1996Apr,84.24
1996Mar,84.23
1996Feb,84.30
1996Jan,84.32
1995Dec,84.12
1995Nov,84.23
1995Oct,84.36
1995Sep,84.39
1995Aug,84.34
1995Jul,84.19
1995Jun,84.05
1995May,83.92
1995Apr,83.71
1995Mar,83.39
1995Feb,83.02
1995Jan,82.61
1994Dec,81.60
1994Nov,81.35
1994Oct,80.96
1994Sep,80.61
1994Aug,80.40
1994Jul,80.20
1994Jun,80.06
1994May,79.97
1994Apr,79.79
1994Mar,79.60
1994Feb,79.47
1994Jan,79.34
1993Dec,79.09
1993Nov,79.04
1993Oct,78.98
1993Sep,78.99
1993Aug,78.99
1993Jul,78.95
1993Jun,78.87
1993May,78.80
1993Apr,78.77
1993Mar,78.63
1993Feb,78.51
1993Jan,78.44
1992Dec,78.15
1992Nov,78.19
1992Oct,78.15
1992Sep,78.17
1992Aug,78.13
1992Jul,78.14
1992Jun,78.11
1992May,78.02
1992Apr,77.92
1992Mar,77.73
1992Feb,77.51
1992Jan,77.30
1991Dec,76.94
1991Nov,76.96
1991Oct,76.95
1991Sep,76.83
1991Aug,76.73
1991Jul,76.69
1991Jun,76.62
1991May,76.51
1991Apr,76.43
1991Mar,76.21
1991Feb,76.08
1991Jan,76.00
1990Dec,75.87
1990Nov,75.85
1990Oct,75.80
1990Sep,75.59
1990Aug,75.53
1990Jul,75.44
1990Jun,75.38
1990May,75.35
1990Apr,75.21
1990Mar,75.07
1990Feb,74.94
1990Jan,74.81
