,ICP.M.AT.N.000000.4.INX,ICP.M.AT.N.FDPXAT.4.INX,ICP.M.AT.N.FOODUN.4.INX,ICP.M.AT.N.IGXE00.4.INX,ICP.M.AT.N.NRGY00.4.INX,ICP.M.AT.N.SERV00.4.INX,ICP.M.BE.N.000000.4.INX,ICP.M.BE.N.FDPXAT.4.INX,ICP.M.BE.N.FOODUN.4.INX,ICP.M.BE.N.IGXE00.4.INX,ICP.M.BE.N.NRGY00.4.INX,ICP.M.BE.N.SERV00.4.INX,ICP.M.DE.N.000000.4.INX,ICP.M.DE.N.FDPXAT.4.INX,ICP.M.DE.N.FOODUN.4.INX,ICP.M.DE.N.IGXE00.4.INX,ICP.M.DE.N.NRGY00.4.INX,ICP.M.DE.N.SERV00.4.INX,ICP.M.DK.N.000000.4.INX,ICP.M.DK.N.FDPXAT.4.INX,ICP.M.DK.N.FOODUN.4.INX,ICP.M.DK.N.IGXE00.4.INX,ICP.M.DK.N.NRGY00.4.INX,ICP.M.DK.N.SERV00.4.INX,ICP.M.ES.N.000000.4.INX,ICP.M.ES.N.FDPXAT.4.INX,ICP.M.ES.N.FOODUN.4.INX,ICP.M.ES.N.IGXE00.4.INX,ICP.M.ES.N.NRGY00.4.INX,ICP.M.ES.N.SERV00.4.INX,ICP.M.FI.N.000000.4.INX,ICP.M.FI.N.FDPXAT.4.INX,ICP.M.FI.N.FOODUN.4.INX,ICP.M.FI.N.IGXE00.4.INX,ICP.M.FI.N.NRGY00.4.INX,ICP.M.FI.N.SERV00.4.INX
2015May,122.04,131.23,128.81,112.62,127.78,124.76,121.49,132.73,125.58,110.27,127.88,122.88,116.6,123.8,126.6,108.5,134.7,114.2,118.2,132.8,116.8,101.0,126.3,125.2,121.54,120.51,120.69,108.16,149.11,121.55,121.78,127.88,128.93,99.66,141.56,130.81
2015Apr,121.84,131.21,128.43,112.68,126.13,124.63,121.10,132.90,126.44,110.12,124.44,122.78,116.5,124.3,126.0,108.8,133.4,114.0,118.2,132.8,116.3,101.0,126.1,125.3,121.01,120.39,119.67,107.42,147.58,121.45,121.91,128.75,129.02,100.07,139.48,130.92
2015Mar,121.68,131.06,128.13,111.96,125.90,124.99,120.76,132.72,121.85,110.08,126.48,122.49,116.6,124.3,123.9,108.6,132.8,114.8,118.0,132.6,116.2,100.9,125.8,125.1,120.20,120.27,119.93,105.42,146.80,121.04,121.89,128.82,130.02,100.38,138.44,130.56
2015Feb,119.99,130.66,127.68,108.03,123.28,124.72,120.43,132.37,122.17,110.26,121.94,122.88,116.0,123.9,124.7,107.1,130.9,114.8,117.4,132.3,115.1,98.9,125.0,125.7,117.83,120.10,121.11,98.78,142.96,120.69,121.43,128.93,129.75,98.88,135.18,131.31
2015Jan,119.66,130.96,127.07,108.23,121.98,124.17,117.58,132.45,120.75,104.26,118.65,121.46,114.8,123.6,122.8,106.7,128.3,113.4,116.4,132.3,116.2,98.0,122.7,124.3,117.66,120.08,120.55,99.40,140.99,120.53,121.03,130.48,130.69,98.77,133.21,130.18
2014Dec,121.36,130.66,126.70,112.42,125.76,124.32,120.13,132.15,119.83,110.06,126.88,121.62,116.3,123.6,121.6,108.0,132.6,115.0,117.1,130.7,115.8,99.9,127.1,124.0,120.27,119.90,120.11,106.50,145.74,120.85,121.93,130.15,130.57,100.42,136.95,130.60
2014Nov,121.31,130.63,126.06,112.75,131.18,123.00,120.14,132.22,119.04,110.05,131.11,120.77,116.2,123.5,120.8,108.2,137.9,113.8,117.4,131.3,115.4,99.7,131.3,123.9,121.07,119.79,120.31,107.38,153.02,120.44,122.11,130.23,129.54,101.15,142.20,129.65
2014Oct,121.14,130.60,125.45,112.26,133.36,122.60,120.33,132.29,118.07,110.01,133.46,120.95,116.2,124.4,120.4,108.0,139.5,113.4,117.7,132.3,115.1,99.8,131.9,124.2,121.35,119.55,120.60,106.43,157.52,120.76,122.29,130.55,127.75,101.07,144.96,129.91
2014Sep,121.13,130.06,125.47,111.45,135.41,122.86,120.32,132.55,118.29,109.99,133.51,120.81,116.6,124.4,120.6,108.1,141.5,113.8,117.6,132.3,114.5,99.7,132.5,124.0,121.27,119.33,119.64,104.87,160.51,121.29,122.50,131.04,129.25,101.10,146.59,129.87
2014Aug,120.04,130.32,124.86,107.53,134.10,123.49,120.77,132.64,119.38,109.96,133.73,121.65,116.6,124.5,119.8,106.9,141.3,114.7,117.2,133.1,114.6,97.9,133.1,124.2,120.04,119.03,119.66,100.02,158.36,122.35,121.73,130.84,127.82,99.08,147.00,129.94
2014Jul,120.02,130.24,125.50,107.68,135.13,123.06,119.06,132.92,122.32,102.72,135.16,121.97,116.6,124.4,121.5,106.6,142.1,114.5,117.4,133.4,115.2,97.3,134.0,124.8,119.93,119.10,119.08,100.61,158.39,121.80,121.53,130.90,128.78,98.24,147.79,129.89
2014Jun,120.81,129.70,126.65,111.29,135.38,122.21,120.65,132.74,122.13,110.02,135.40,120.37,116.3,123.8,122.3,107.3,142.4,113.3,117.6,132.9,115.0,98.8,135.2,123.8,121.80,119.28,118.89,107.49,159.26,121.27,121.71,130.81,129.32,99.28,146.89,129.40
2014May,120.83,129.87,127.42,112.16,134.73,121.66,120.47,132.96,121.92,110.07,134.95,119.99,115.8,123.8,122.5,107.7,141.7,112.3,117.7,133.3,113.1,100.1,134.1,123.5,121.87,119.75,118.61,108.10,159.24,120.95,121.65,131.23,128.32,100.54,146.22,128.54
2014Apr,120.71,129.78,126.35,112.18,134.44,121.60,120.65,132.88,125.03,109.84,135.29,119.99,116.1,123.4,123.8,107.9,141.7,112.6,117.7,132.4,112.8,100.0,134.5,123.6,121.90,120.01,119.12,107.55,158.94,121.31,122.01,130.28,131.92,100.91,146.37,128.75
