,ICP.M.AT.N.000000.4.ANR,ICP.M.AT.N.FDPXAT.4.ANR,ICP.M.AT.N.FOODUN.4.ANR,ICP.M.AT.N.IGXE00.4.ANR,ICP.M.AT.N.NRGY00.4.ANR,ICP.M.AT.N.SERV00.4.ANR,ICP.M.BE.N.000000.4.ANR,ICP.M.BE.N.FDPXAT.4.ANR,ICP.M.BE.N.FOODUN.4.ANR,ICP.M.BE.N.IGXE00.4.ANR,ICP.M.BE.N.NRGY00.4.ANR,ICP.M.BE.N.SERV00.4.ANR,ICP.M.DE.N.000000.4.ANR,ICP.M.DE.N.FDPXAT.4.ANR,ICP.M.DE.N.FOODUN.4.ANR,ICP.M.DE.N.IGXE00.4.ANR,ICP.M.DE.N.NRGY00.4.ANR,ICP.M.DE.N.SERV00.4.ANR,ICP.M.DK.N.000000.4.ANR,ICP.M.DK.N.FDPXAT.4.ANR,ICP.M.DK.N.FOODUN.4.ANR,ICP.M.DK.N.IGXE00.4.ANR,ICP.M.DK.N.NRGY00.4.ANR,ICP.M.DK.N.SERV00.4.ANR,ICP.M.ES.N.000000.4.ANR,ICP.M.ES.N.FDPXAT.4.ANR,ICP.M.ES.N.FOODUN.4.ANR,ICP.M.ES.N.IGXE00.4.ANR,ICP.M.ES.N.NRGY00.4.ANR,ICP.M.ES.N.SERV00.4.ANR,ICP.M.FI.N.000000.4.ANR,ICP.M.FI.N.FDPXAT.4.ANR,ICP.M.FI.N.FOODUN.4.ANR,ICP.M.FI.N.IGXE00.4.ANR,ICP.M.FI.N.NRGY00.4.ANR,ICP.M.FI.N.SERV00.4.ANR
2015May,1.0,1.0,1.1,0.4,-5.2,2.5,0.8,-0.2,3.0,0.2,-5.2,2.4,0.7,0.0,3.3,0.7,-4.9,1.7,0.4,-0.4,3.3,0.9,-5.8,1.4,-0.3,0.6,1.8,0.1,-6.4,0.5,0.1,-2.6,0.5,-0.9,-3.2,1.8
2015Apr,0.9,1.1,1.6,0.4,-6.2,2.5,0.4,0.0,1.1,0.3,-8.0,2.3,0.3,0.7,1.8,0.8,-5.9,1.2,0.4,0.3,3.1,1.0,-6.2,1.4,-0.7,0.3,0.5,-0.1,-7.1,0.1,-0.1,-1.2,-2.2,-0.8,-4.7,1.7
2015Mar,0.9,1.0,1.7,0.2,-6.4,2.7,-0.1,0.3,-0.4,0.2,-11.0,2.2,0.2,0.6,-0.6,0.6,-5.6,1.3,0.3,0.4,2.5,0.8,-5.8,1.4,-0.8,-0.2,0.8,-0.3,-7.4,0.2,0.0,-1.4,-1.8,-0.3,-5.9,1.7
2015Feb,0.5,1.0,0.0,-0.3,-8.6,2.5,-0.4,0.1,-0.3,0.2,-14.5,2.6,0.0,0.2,-0.7,0.2,-7.3,1.5,0.0,-0.2,1.1,0.3,-6.9,1.4,-1.2,-0.5,0.8,-0.2,-10.1,0.2,-0.1,-1.4,-3.7,-0.2,-8.9,2.3
2015Jan,0.5,1.3,-0.6,0.0,-9.5,2.6,-0.6,0.2,-2.0,1.2,-16.4,2.3,-0.5,0.2,-2.7,0.3,-8.9,1.2,-0.3,-0.1,0.9,0.0,-8.3,1.1,-1.5,-0.8,-0.1,-0.3,-11.4,0.3,-0.1,0.0,-3.3,0.2,-10.2,1.8
2014Dec,0.8,1.8,-0.5,-0.0,-7.0,2.7,-0.4,0.0,-2.1,0.2,-11.3,2.0,0.1,0.4,-2.4,0.7,-6.5,1.4,0.1,-1.4,0.4,-0.2,-3.9,1.5,-1.1,-1.0,0.2,-0.3,-8.4,0.1,0.6,0.5,-3.0,-0.7,-6.4,2.9
2014Nov,1.5,1.9,0.8,0.2,-2.4,3.1,0.1,-0.1,-1.8,0.2,-7.3,2.0,0.5,0.4,0.1,0.3,-2.3,1.3,0.2,-1.1,0.4,-0.5,-0.8,1.3,-0.5,-1.1,1.2,-0.3,-3.2,-0.0,1.1,0.5,-1.7,-0.2,-2.6,2.8
2014Oct,1.4,2.0,0.6,-0.0,-1.6,2.8,0.3,0.2,-2.4,0.3,-6.2,2.3,0.7,1.7,-0.3,0.2,-2.1,1.6,0.3,-0.5,0.3,-0.8,-0.7,1.3,-0.2,-1.2,1.6,-0.5,-1.1,-0.1,1.2,0.6,-1.5,-0.2,-1.8,2.8
2014Sep,1.4,2.2,1.6,-0.3,-1.8,2.9,0.2,0.8,-2.4,0.5,-8.2,2.3,0.8,2.2,-0.7,0.7,-2.1,1.5,0.3,-0.8,-1.7,-0.7,-0.6,1.6,-0.3,-1.2,-0.5,-0.5,-0.0,-0.1,1.5,0.7,0.8,0.2,-2.2,3.0
2014Aug,1.5,2.5,0.8,-0.1,-2.3,2.9,0.4,0.9,-2.3,0.6,-6.5,2.1,0.8,2.5,-2.1,0.8,-1.9,1.4,0.3,0.2,-1.5,-1.3,0.3,1.7,-0.5,-1.3,-2.9,-0.2,-0.9,0.0,1.2,1.0,-1.3,-0.5,-1.5,3.0
2014Jul,1.7,2.8,0.2,0.5,-1.5,2.8,0.6,1.1,-1.1,0.2,-6.0,2.3,0.8,2.4,-2.6,0.7,-1.5,1.4,0.5,1.1,-2.0,-1.0,0.7,1.7,-0.4,-1.1,-2.7,-0.2,0.3,-0.0,1.0,1.1,-3.5,-0.5,-0.8,2.6
2014Jun,1.7,2.7,-0.3,0.5,-0.4,2.8,0.7,0.9,-3.5,0.7,-4.7,2.3,1.0,2.2,-2.9,0.4,-0.3,1.5,0.4,-0.1,-1.9,-1.4,1.9,1.6,0.0,-1.1,-1.7,-0.3,2.6,0.1,1.1,1.0,-2.7,-0.9,-0.5,2.9
2014May,1.5,2.6,0.7,0.3,-0.6,2.5,0.8,1.0,-2.5,0.7,-4.9,2.4,0.6,2.6,-2.6,0.4,-0.8,1.1,0.3,-0.1,-2.2,-1.1,0.9,1.6,0.2,-0.7,-0.9,-0.2,3.0,0.0,1.0,1.4,-5.3,-0.5,-0.6,3.0
2014Apr,1.6,2.6,0.9,0.5,-1.3,2.6,0.9,1.0,0.6,0.5,-6.9,2.7,1.1,2.8,-0.4,0.4,-1.3,2.0,0.5,-0.5,-2.8,-0.9,1.4,1.7,0.3,-0.4,0.5,-0.3,1.6,0.3,1.3,0.7,-2.2,0.0,-1.1,3.1
2014Mar,1.4,2.8,1.6,0.5,-2.2,2.5,0.9,0.5,-0.5,0.5,-3.0,2.1,0.9,3.0,0.3,0.5,-1.5,1.1,0.2,-1.1,-3.4,-0.9,-1.0,1.7,-0.2,0.0,0.9,-0.3,-1.4,-0.4,1.3,1.3,-0.9,0.5,-2.4,2.8
2014Feb,1.5,3.0,1.9,0.2,-3.1,2.8,1.0,0.7,0.2,0.7,-3.5,2.2,1.0,3.4,2.6,0.7,-2.6,1.5,0.3,-0.5,-2.1,-0.8,-1.2,1.7,0.1,0.3,1.7,-0.0,-1.7,-0.1,1.6,1.4,1.9,0.4,-1.3,2.8
2014Jan,1.5,3.0,1.8,0.4,-2.1,2.6,1.1,1.2,1.7,0.9,-4.3,2.3,1.2,3.4,2.7,0.9,-1.7,1.4,0.8,-0.9,-1.2,-0.1,0.2,2.1,0.3,0.7,1.5,0.1,0.0,-0.2,1.9,3.6,4.3,-0.3,0.3,2.9
2013Dec,2.0,2.6,1.9,1.2,-1.3,3.0,1.2,1.5,2.2,0.7,-4.2,2.3,1.2,3.4,2.9,0.5,1.4,1.0,0.4,-0.6,-2.0,-0.9,0.8,1.9,0.3,0.8,1.5,-0.2,0.2,-0.1,1.9,3.0,4.4,0.4,0.4,2.8
