,ICP.M.FR.N.000000.4.INX,ICP.M.FR.N.FDPXAT.4.INX,ICP.M.FR.N.FOODUN.4.INX,ICP.M.FR.N.IGXE00.4.INX,ICP.M.FR.N.NRGY00.4.INX,ICP.M.FR.N.SERV00.4.INX,ICP.M.GB.N.000000.4.INX,ICP.M.GB.N.FDPXAT.4.INX,ICP.M.GB.N.FOODUN.4.INX,ICP.M.GB.N.IGXE00.4.INX,ICP.M.GB.N.NRGY00.4.INX,ICP.M.GB.N.SERV00.4.INX,ICP.M.GR.N.000000.4.INX,ICP.M.GR.N.FDPXAT.4.INX,ICP.M.GR.N.FOODUN.4.INX,ICP.M.GR.N.IGXE00.4.INX,ICP.M.GR.N.NRGY00.4.INX,ICP.M.GR.N.SERV00.4.INX,ICP.M.IE.N.000000.4.INX,ICP.M.IE.N.FDPXAT.4.INX,ICP.M.IE.N.FOODUN.4.INX,ICP.M.IE.N.IGXE00.4.INX,ICP.M.IE.N.NRGY00.4.INX,ICP.M.IE.N.SERV00.4.INX,ICP.M.IT.N.000000.4.INX,ICP.M.IT.N.FDPXAT.4.INX,ICP.M.IT.N.FOODUN.4.INX,ICP.M.IT.N.IGXE00.4.INX,ICP.M.IT.N.NRGY00.4.INX,ICP.M.IT.N.SERV00.4.INX,ICP.M.LU.N.000000.4.INX,ICP.M.LU.N.FDPXAT.4.INX,ICP.M.LU.N.FOODUN.4.INX,ICP.M.LU.N.IGXE00.4.INX,ICP.M.LU.N.NRGY00.4.INX,ICP.M.LU.N.SERV00.4.INX,ICP.M.NL.N.000000.4.INX,ICP.M.NL.N.FDPXAT.4.INX,ICP.M.NL.N.FOODUN.4.INX,ICP.M.NL.N.IGXE00.4.INX,ICP.M.NL.N.NRGY00.4.INX,ICP.M.NL.N.SERV00.4.INX,ICP.M.PT.N.000000.4.INX,ICP.M.PT.N.FDPXAT.4.INX,ICP.M.PT.N.FOODUN.4.INX,ICP.M.PT.N.IGXE00.4.INX,ICP.M.PT.N.NRGY00.4.INX,ICP.M.PT.N.SERV00.4.INX,ICP.M.SE.N.000000.4.INX,ICP.M.SE.N.FDPXAT.4.INX,ICP.M.SE.N.FOODUN.4.INX,ICP.M.SE.N.IGXE00.4.INX,ICP.M.SE.N.NRGY00.4.INX,ICP.M.SE.N.SERV00.4.INX
2015May,116.32,110.36,122.33,104.92,135.10,119.66,128.2,140.3,139.8,99.2,171.7,136.7,118.89,118.41,116.93,103.72,182.81,114.63,110.0,106.1,95.0,76.2,142.8,123.5,120.5,122.5,121.7,116.0,133.2,119.4,124.68,128.53,122.52,114.13,126.28,127.85,117.98,118.11,118.47,105.20,125.19,123.63,117.86,114.90,111.79,98.79,144.94,121.98,115.20,123.59,125.74,100.51,122.00,118.21
2015Apr,116.03,110.38,121.06,104.68,134.64,119.44,128.0,140.2,140.2,99.1,170.6,136.5,119.14,118.89,119.72,106.66,181.97,113.37,109.4,106.1,94.7,76.2,139.8,122.9,120.3,122.5,121.3,115.9,132.1,119.3,124.00,128.39,121.38,113.81,123.32,127.78,117.69,118.16,118.18,105.36,124.31,122.96,117.23,114.52,111.03,98.69,142.42,121.39,114.69,123.18,124.10,100.13,122.08,117.57
2015Mar,115.87,110.41,121.00,104.48,134.39,119.28,127.6,140.7,140.7,99.4,169.6,135.7,118.64,118.59,119.01,104.94,180.74,113.42,109.5,105.3,95.1,76.3,139.3,123.1,119.8,122.6,121.5,114.5,133.7,118.6,123.83,128.43,121.51,113.76,123.39,127.61,116.72,118.07,117.16,105.17,123.40,121.19,116.77,114.59,110.41,98.40,141.38,121.04,114.50,123.10,122.58,99.71,121.73,117.78
2015Feb,115.01,110.55,120.26,102.10,133.10,119.25,127.4,140.5,141.5,99.1,168.4,135.5,116.43,118.42,118.15,97.13,176.38,112.92,108.8,105.7,95.0,76.1,135.2,122.2,117.3,122.5,122.0,105.6,131.2,118.6,123.30,128.13,121.65,113.84,119.20,127.53,115.24,118.30,117.06,100.67,121.71,121.40,114.56,114.69,110.48,92.36,138.55,120.38,114.37,122.60,123.04,99.39,121.14,117.96
2015Jan,114.17,110.63,119.66,100.93,130.46,118.68,127.1,141.0,141.7,98.5,169.4,135.1,116.68,118.15,116.55,101.84,171.71,112.33,108.1,106.0,96.1,74.7,134.6,121.5,117.0,122.6,120.7,106.2,130.9,118.3,120.84,128.64,121.54,108.25,114.90,127.05,114.31,116.62,116.02,99.64,119.99,120.82,114.54,114.43,111.37,93.67,135.37,119.73,113.41,122.01,121.33,98.35,118.90,117.19
2014Dec,115.47,110.63,119.53,104.53,133.09,118.81,128.2,141.7,142.9,100.1,175.3,135.4,118.07,117.90,113.54,106.51,178.54,113.16,108.9,106.5,95.7,76.4,142.5,121.0,120.0,122.2,119.1,115.5,135.9,118.9,122.24,128.20,119.26,112.74,120.23,125.76,115.74,117.79,116.92,102.09,123.06,121.51,116.27,114.54,110.51,99.05,136.21,120.21,114.67,122.56,120.49,101.09,120.50,118.21
2014Nov,115.39,110.73,119.57,104.42,136.44,118.01,128.2,141.6,142.1,100.2,179.0,135.0,118.70,117.85,114.80,105.07,187.72,113.56,109.3,106.5,96.2,76.5,147.1,120.8,120.0,122.3,119.1,115.5,138.5,118.3,123.40,128.29,120.44,112.58,128.27,125.96,116.00,117.38,116.53,103.66,126.17,120.32,116.27,114.23,110.21,99.67,141.57,119.08,114.37,122.48,119.93,101.25,123.44,116.78
2014Oct,115.58,110.78,119.61,104.59,137.22,118.18,128.5,142.2,142.0,100.2,180.9,135.2,119.55,117.76,115.41,107.47,190.27,113.84,109.6,106.7,96.5,76.5,150.1,120.9,120.3,122.2,117.6,115.7,140.3,118.9,123.86,127.98,120.37,112.83,131.74,125.89,116.86,118.03,115.36,103.99,127.66,121.80,116.69,113.82,110.40,99.40,143.88,120.00,114.46,122.22,120.01,100.65,123.69,117.46
2014Sep,115.55,110.93,118.44,104.77,136.90,118.22,128.4,142.4,141.7,100.2,182.6,134.7,120.59,118.31,113.81,107.45,204.42,114.15,109.9,107.0,96.7,76.8,151.1,121.1,119.9,122.3,117.6,114.6,139.1,119.0,124.25,127.73,121.14,112.66,134.99,125.98,116.99,117.38,116.12,104.07,128.99,121.76,116.64,113.79,108.47,98.07,145.82,121.09,114.39,122.17,118.88,100.44,126.73,116.90
2014Aug,115.97,111.16,116.96,103.44,137.20,120.33,128.3,142.6,141.9,99.4,183.1,135.3,118.72,118.33,112.43,99.20,205.01,114.46,110.2,107.9,96.6,76.7,151.6,121.6,117.7,122.4,117.3,105.1,139.6,120.2,124.27,127.88,120.84,112.65,134.65,126.19,117.02,117.88,116.38,101.50,128.78,123.66,116.03,113.59,108.87,93.60,145.81,122.80,114.12,122.74,119.96,99.06,125.94,117.20
2014Jul,115.42,111.19,118.42,101.32,138.30,120.00,127.8,143.0,142.1,98.7,184.2,134.8,120.02,118.00,113.61,103.32,206.14,114.85,109.9,107.9,96.8,75.4,152.5,121.5,117.9,122.4,117.4,106.7,140.0,119.4,123.16,127.99,122.08,108.54,136.50,125.89,117.16,118.09,117.48,101.10,129.97,123.81,116.12,113.76,109.05,95.17,147.11,121.65,114.15,122.92,121.38,97.89,126.13,117.91
2014Jun,115.87,111.40,119.67,104.58,138.12,118.55,128.3,143.6,141.9,100.5,183.8,134.1,121.25,117.85,116.18,107.83,205.08,114.96,110.0,108.3,97.1,77.0,151.0,120.8,120.4,122.3,119.7,115.0,141.4,119.0,124.38,128.15,122.31,112.81,136.00,125.63,116.76,117.16,117.93,104.37,130.60,120.43,116.84,114.02,108.59,99.28,146.95,120.52,114.44,121.35,121.25,99.70,126.51,117.53
2014May,115.92,111.65,119.97,105.06,138.18,118.23,128.0,143.0,142.3,100.4,183.7,133.7,120.61,117.82,116.43,105.61,204.40,114.73,109.8,108.6,97.5,77.7,150.8,120.0,120.3,122.3,119.3,115.1,141.3,118.8,124.15,128.17,121.92,112.73,135.26,125.42,117.18,117.14,118.30,106.30,130.00,120.08,116.75,114.49,107.80,99.64,146.91,120.25,114.18,121.33,120.47,100.35,126.64,116.45
2014Apr,115.89,111.84,118.82,105.12,139.04,118.10,128.1,144.4,144.2,100.3,183.5,133.8,121.34,117.50,118.86,108.22,204.34,114.57,109.8,108.3,97.6,77.6,150.1,120.2,120.4,122.3,119.0,115.2,141.2,119.1,124.04,128.25,122.80,112.65,135.07,125.44,117.72,117.11,119.54,106.57,130.01,121.00,116.66,114.19,108.85,99.53,147.00,119.91,114.11,120.93,119.45,100.57,125.83,116.51
2014Mar,115.92,111.81,119.26,105.04,139.25,118.12,127.7,144.4,145.7,100.5,184.2,132.6,120.89,117.69,118.19,106.91,202.66,114.57,109.8,108.7,97.4,77.9,150.3,119.8,119.8,122.3,119.2,113.9,143.0,118.1,123.76,127.72,122.26,112.63,135.10,125.30,117.04,117.13,119.26,106.84,129.13,119.42,116.26,114.50,109.89,99.24,146.69,118.92,113.65,121.10,119.61,99.93,125.36,115.95
2014Feb,115.33,111.65,118.99,103.43,140.11,117.78,127.4,145.4,146.2,99.8,184.7,132.3,118.70,118.00,116.32,98.50,202.56,114.47,109.2,108.5,98.2,77.4,150.1,119.0,117.2,122.3,120.1,105.0,143.3,117.8,123.71,127.77,123.56,112.65,135.29,124.99,115.77,117.05,118.99,102.16,129.55,119.78,114.67,114.61,110.54,93.53,147.10,118.95,113.61,121.04,120.38,99.46,125.90,115.95
