,EXR.M.Z65.EUR.EN00.A
2013Dec,115.7589
2013Nov,114.1635
2013Oct,114.2014
2013Sep,113.3247
2013Aug,113.4178
2013Jul,112.0173
2013Jun,111.9759
2013May,109.9903
2013Apr,109.7660
2013Mar,109.4960
2013Feb,111.1537
2013Jan,109.8856
2012Dec,108.2843
2012Nov,106.7316
2012Oct,107.3003
2012Sep,106.6027
2012Aug,104.4615
2012Jul,104.3487
2012Jun,106.6504
2012May,107.3307
2012Apr,108.5115
2012Mar,108.7235
2012Feb,108.4405
2012Jan,108.0697
2011Dec,110.3075
2011Nov,112.1405
2011Oct,112.6432
2011Sep,112.1272
2011Aug,112.9991
2011Jul,112.4370
2011Jun,113.5195
2011May,113.3232
2011Apr,114.1095
2011Mar,112.4176
2011Feb,110.6654
2011Jan,109.3721
2010Dec,109.4252
2010Nov,111.7622
2010Oct,112.9947
2010Sep,109.3310
2010Aug,108.9133
2010Jul,109.2489
2010Jun,107.0263
2010May,109.1440
2010Apr,112.5891
2010Mar,114.2851
2010Feb,115.4676
2010Jan,118.3418
2009Dec,120.8758
2009Nov,122.0360
2009Oct,122.1374
2009Sep,121.1949
2009Aug,119.8937
2009Jul,119.8023
2009Jun,120.0644
2009May,118.6695
2009Apr,118.2561
2009Mar,119.5992
2009Feb,117.0937
2009Jan,117.7413
2008Dec,117.6060
2008Nov,111.8342
2008Oct,112.7814
2008Sep,115.1195
2008Aug,116.5518
2008Jul,119.3451
2008Jun,119.2333
2008May,119.4054
2008Apr,120.3090
2008Mar,119.1151
2008Feb,115.8084
2008Jan,116.0576
2007Dec,115.4781
2007Nov,115.9085
2007Oct,114.0742
2007Sep,113.2768
2007Aug,112.4131
2007Jul,112.4465
2007Jun,111.8407
2007May,112.3727
2007Apr,112.6339
2007Mar,111.8814
2007Feb,111.0419
2007Jan,110.7504
2006Dec,111.5666
2006Nov,110.4862
2006Oct,109.8032
2006Sep,110.5749
2006Aug,110.7741
2006Jul,110.7697
2006Jun,110.7195
2006May,109.9617
2006Apr,108.0363
2006Mar,106.8514
2006Feb,105.9940
2006Jan,107.0733
2005Dec,106.4397
2005Nov,106.4009
2005Oct,107.3745
2005Sep,107.8913
2005Aug,108.4272
2005Jul,107.8673
2005Jun,107.7123
2005May,110.7847
2005Apr,111.9967
2005Mar,112.9046
2005Feb,111.9656
2005Jan,113.0877
2004Dec,114.6445
2004Nov,113.4263
2004Oct,111.9053
2004Sep,110.6755
2004Aug,110.3332
2004Jul,110.4960
2004Jun,110.0313
2004May,109.9795
2004Apr,108.7468
2004Mar,110.5649
2004Feb,112.8257
2004Jan,112.9436
2003Dec,111.6733
2003Nov,108.4020
2003Oct,108.3583
2003Sep,106.2068
2003Aug,106.2497
2003Jul,107.5286
2003Jun,109.1030
2003May,108.6780
2003Apr,104.8358
2003Mar,104.6887
2003Feb,103.9907
2003Jan,102.5500
2002Dec,99.6084
2002Nov,98.6031
2002Oct,97.8168
2002Sep,97.3714
2002Aug,97.0776
2002Jul,97.6383
2002Jun,95.5395
2002May,92.7100
2002Apr,90.5980
2002Mar,90.2674
2002Feb,90.1138
2002Jan,90.8607
2001Dec,91.1647
2001Nov,90.6723
2001Oct,92.2510
2001Sep,92.2042
2001Aug,91.2985
2001Jul,88.6207
2001Jun,87.3737
2001May,88.7289
2001Apr,90.4177
2001Mar,90.8495
2001Feb,90.5618
2001Jan,91.3080
2000Dec,87.8180
2000Nov,84.7677
2000Oct,83.9956
2000Sep,85.0174
2000Aug,86.7239
2000Jul,89.1783
2000Jun,89.7748
2000May,86.5402
2000Apr,88.2623
2000Mar,89.5284
2000Feb,90.9977
2000Jan,92.3052
1999Dec,92.2126
1999Nov,94.0334
1999Oct,96.4904
1999Sep,95.1951
1999Aug,96.2625
1999Jul,94.9243
1999Jun,94.9727
1999May,96.7967
1999Apr,97.2212
1999Mar,98.6510
1999Feb,100.0367
1999Jan,101.4601
1998Dec,101.7783
1998Nov,101.1164
1998Oct,103.3069
1998Sep,101.0081
1998Aug,97.2242
1998Jul,95.7748
1998Jun,95.8715
1998May,95.3361
1998Apr,92.7192
1998Mar,92.2465
1998Feb,93.0595
1998Jan,93.9333
1997Dec,93.8206
1997Nov,93.0385
1997Oct,91.4280
1997Sep,89.8119
1997Aug,87.2426
1997Jul,87.6152
1997Jun,89.6802
1997May,90.8234
1997Apr,91.0266
1997Mar,91.2267
1997Feb,91.9605
1997Jan,93.6888
1996Dec,95.0615
1996Nov,96.0575
1996Oct,95.5610
1996Sep,96.2108
1996Aug,96.7061
1996Jul,95.6980
1996Jun,94.5067
1996May,93.9063
1996Apr,94.4440
1996Mar,94.8586
1996Feb,94.8892
1996Jan,94.7956
1995Dec,94.7339
1995Nov,95.1995
1995Oct,94.6079
1995Sep,92.9201
1995Aug,93.1543
1995Jul,94.0166
1995Jun,92.7154
1995May,91.7596
1995Apr,92.8164
1995Mar,92.2937
1995Feb,90.0365
1995Jan,88.9490
1994Dec,86.8426
1994Nov,87.5635
1994Oct,88.2534
1994Sep,86.8422
1994Aug,86.4484
1994Jul,86.1645
1994Jun,83.4796
1994May,82.8259
1994Apr,80.8927
1994Mar,79.3493
1994Feb,77.5034
1994Jan,76.2596
1993Dec,75.0551
1993Nov,74.7019
1993Oct,75.6297
1993Sep,75.1509
1993Aug,72.3236
1993Jul,72.3522
1993Jun,73.9411
1993May,74.6752
1993Apr,74.1015
1993Mar,72.5224
1993Feb,72.7278
1993Jan,72.3670
