,STS.M.AT.S.UNEH.RTT000.4.000,STS.M.BE.S.UNEH.RTT000.4.000,STS.M.DE.S.UNEH.RTT000.4.000,STS.M.DK.S.UNEH.RTT000.4.000,STS.M.ES.S.UNEH.RTT000.4.000,STS.M.FI.S.UNEH.RTT000.4.000,STS.M.FR.S.UNEH.RTT000.4.000,STS.M.GB.S.UNEH.RTT000.4.000,STS.M.GR.S.UNEH.RTT000.4.000,STS.M.IE.S.UNEH.RTT000.4.000,STS.M.IT.S.UNEH.RTT000.4.000,STS.M.LU.S.UNEH.RTT000.4.000,STS.M.NL.S.UNEH.RTT000.4.000,STS.M.PT.S.UNEH.RTT000.4.000,STS.M.SE.S.UNEH.RTT000.4.000
2015May,6.030000,8.620000,4.710000,6.240000,22.500000,9.370000,10.300000,,,9.770000,12.390000,5.720000,6.920000,13.220000,7.790000
2015Apr,5.840000,8.650000,4.740000,6.230000,22.710000,9.360000,10.240000,,25.560000,9.800000,12.360000,5.750000,7.010000,12.830000,7.770000
2015Mar,5.580000,8.720000,4.750000,6.290000,22.940000,9.320000,10.310000,5.440000,25.840000,9.840000,12.570000,5.750000,7.030000,13.220000,7.570000
2015Feb,5.460000,8.660000,4.770000,6.150000,23.120000,9.210000,10.330000,5.480000,25.830000,10.010000,12.360000,5.840000,7.100000,13.500000,7.900000
2015Jan,5.550000,8.620000,4.800000,6.110000,23.330000,9.090000,10.360000,5.520000,25.970000,10.150000,12.290000,5.840000,7.230000,13.740000,7.850000
2014Dec,5.640000,8.580000,4.840000,6.140000,23.570000,9.030000,10.430000,5.540000,25.960000,10.240000,12.380000,5.880000,7.230000,13.600000,7.610000
2014Nov,5.650000,8.610000,4.900000,6.420000,23.700000,9.020000,10.450000,5.590000,25.970000,10.380000,12.970000,5.880000,7.130000,13.500000,7.810000
2014Oct,5.640000,8.610000,4.960000,6.470000,23.850000,8.990000,10.390000,5.770000,26.110000,10.610000,12.800000,5.890000,7.110000,13.540000,8.040000
2014Sep,5.650000,8.600000,5.000000,6.540000,23.980000,8.890000,10.360000,5.890000,26.120000,10.870000,12.750000,5.990000,7.110000,13.360000,7.740000
2014Aug,5.610000,8.570000,5.010000,6.590000,24.150000,8.740000,10.290000,5.900000,26.210000,11.090000,12.590000,5.970000,7.190000,13.550000,7.970000
