Time,Units
1990 Jan,8.357
1990 Feb,8.365
1990 Mar,8.491
1990 Apr,8.566
1990 May,8.473
1990 Jun,8.351
1990 Jul,8.216
1990 Aug,8.091
1990 Sep,8.191
1990 Oct,8.17
1990 Nov,8.586
1990 Dec,7.906
1991 Jan,7.339
1991 Feb,6.714
1991 Mar,6.568
1991 Apr,6.223
1991 May,6.091
1991 Jun,6.2
1991 Jul,6.137
1991 Aug,5.777
1991 Sep,5.616
1991 Oct,5.47
1991 Nov,5.082
1991 Dec,4.606
1992 Jan,4.181
1992 Feb,4.171
1992 Mar,4.386
1992 Apr,4.286
1992 May,3.976
1992 Jun,3.991
1992 Jul,3.676
1992 Aug,3.449
1992 Sep,3.281
1992 Oct,3.438
1992 Nov,3.807
1992 Dec,3.631
1993 Jan,3.303
1993 Feb,3.229
1993 Mar,3.242
1993 Apr,3.077
1993 May,3.231
1993 Jun,3.338
1993 Jul,3.293
1993 Aug,3.26515
1993 Sep,3.20536
1993 Oct,3.3869
1993 Nov,3.48864
1993 Dec,3.38352
1994 Jan,3.27083
1994 Feb,3.54063
1994 Mar,3.87772
1994 Apr,4.13158
1994 May,4.65
1994 Jun,4.63636
1994 Jul,4.85714
1994 Aug,4.91761
1994 Sep,5.12784
1994 Oct,5.625
1994 Nov,5.88068
1994 Dec,6.38393
1995 Jan,6.33631
1995 Feb,6.26316
1995 Mar,6.26902
1995 Apr,6.23368
1995 May,6.12784
1995 Jun,6.00852
1995 Jul,5.89881
1995 Aug,5.90057
1995 Sep,5.87031
1995 Oct,5.93155
1995 Nov,5.87187
1995 Dec,5.75658
1996 Jan,5.52778
1996 Feb,5.28281
1996 Mar,5.39137
1996 Apr,5.48906
1996 May,5.49858
1996 Jun,5.56563
1996 Jul,5.63636
1996 Aug,5.52083
1996 Sep,5.62651
1996 Oct,5.53455
1996 Nov,5.49895
1996 Dec,5.59113
1997 Jan,5.59325
1997 Feb,5.51
1997 Mar,5.64632
1997 Apr,5.84571
1997 May,5.83789
1997 Jun,5.80476
1997 Jul,5.74318
1997 Aug,5.71647
1997 Sep,5.70524
1997 Oct,5.74955
1997 Nov,5.89278
1997 Dec,6.11411
1998 Jan,5.63053
1998 Feb,5.62683
1998 Mar,5.75462
1998 Apr,5.79707
1998 May,5.83553
1998 Jun,5.74595
1998 Jul,5.675
1998 Aug,5.65581
1998 Sep,5.48143
1998 Oct,5.26333
1998 Nov,5.33316
1998 Dec,5.23316
1999 Jan,5.00415
1999 Feb,4.99599
1999 Mar,5.0052
1999 Apr,4.99825
1999 May,5.02411
1999 Jun,5.17881
1999 Jul,5.30955
1999 Aug,5.44991
1999 Sep,5.56557
1999 Oct,6.18229
1999 Nov,6.10253
1999 Dec,6.12644
2000 Jan,6.03916
2000 Feb,6.09976
2000 Mar,6.19704
2000 Apr,6.31191
2000 May,6.75565
2000 Jun,6.79014
2000 Jul,6.73372
2000 Aug,6.69145
2000 Sep,6.67423
2000 Oct,6.77835
2000 Nov,6.75174
2000 Dec,6.54513
2001 Jan,5.69818
2001 Feb,5.34816
2001 Mar,4.96398
2001 Apr,4.61388
2001 May,4.10366
2001 Jun,3.83408
2001 Jul,3.75114
2001 Aug,3.56602
2001 Sep,3.03456
2001 Oct,2.40005
2001 Nov,2.10298
2001 Dec,1.92431
2002 Jan,1.8206
2002 Feb,1.90319
2002 Mar,1.98788
2002 Apr,1.92
2002 May,1.90455
2002 Jun,1.87761
2002 Jul,1.84845
2002 Aug,1.77485
2002 Sep,1.80461
2002 Oct,1.78454
2002 Nov,1.45588
2002 Dec,1.40725
2003 Jan,1.36605
2003 Feb,1.34334
2003 Mar,1.28624
2003 Apr,1.30047
2003 May,1.2845
2003 Jun,1.12253
2003 Jul,1.10899
2003 Aug,1.13484
2003 Sep,1.14246
2003 Oct,1.15753
2003 Nov,1.17234
2003 Dec,1.17033
2004 Jan,1.12762
2004 Feb,1.12409
2004 Mar,1.11217
2004 Apr,1.15194
2004 May,1.25332
2004 Jun,1.5006
2004 Jul,1.62804
2004 Aug,1.72917
2004 Sep,1.9038
2004 Oct,2.08
2004 Nov,2.30611
2004 Dec,2.49914
2005 Jan,2.66675
2005 Feb,2.80889
2005 Mar,3.01869
2005 Apr,3.14729
2005 May,3.27402
2005 Jun,3.42625
2005 Jul,3.61302
2005 Aug,3.79902
2005 Sep,3.90572
2005 Oct,4.1674
2005 Nov,4.35223
2005 Dec,4.491
2006 Jan,4.60527
2006 Feb,4.75555
2006 Mar,4.92029
2006 Apr,5.07115
2006 May,5.18551
2006 Jun,5.3848
2006 Jul,5.49533
2006 Aug,5.4207
2006 Sep,5.38366
2006 Oct,5.37334
2006 Nov,5.37208
2006 Dec,5.35997
2007 Jan,5.36001
2007 Feb,5.35941
2007 Mar,5.3471
2007 Apr,5.35476
2007 May,5.35891
2007 Jun,5.36
2007 Jul,5.35966
2007 Aug,5.48271
2007 Sep,5.49394
2007 Oct,5.14652
2007 Nov,4.96208
2007 Dec,4.97941
2008 Jan,3.91764
2008 Feb,3.08759
2008 Mar,2.7825
2008 Apr,2.799941
2008 May,2.69238
2008 Jun,2.76539
2008 Jul,2.792339
