Time,M1,M3
1990 Jan,969243000000,2637961000000
1990 Feb,953417000000,2640018000000
1990 Mar,946591000000,2637361000000
1990 Apr,962098000000,2657070000000
1990 May,962908000000,2663708000000
1990 Jun,1016664000000,2788776000000
1990 Jul,1021035000000,2802055000000
1990 Aug,995520000000,2792895000000
1990 Sep,1025650000000,2833827000000
1990 Oct,1016487000000,2841866000000
1990 Nov,1030820000000,2865228000000
1990 Dec,1128463000000,2979949000000
1991 Jan,1057010000000,2937733000000
1991 Feb,1049224000000,2948421000000
1991 Mar,1047676000000,2958242000000
1991 Apr,1057868000000,2969617000000
1991 May,1053702000000,2975117000000
1991 Jun,1091279000000,3015354000000
1991 Jul,1083554000000,3021277000000
1991 Aug,1060831000000,3022624000000
1991 Sep,1079023000000,3046743000000
1991 Oct,1066870000000,3056240000000
1991 Nov,1093925000000,3093703000000
1991 Dec,1171457000000,3204633000000
1992 Jan,1088484000000,3150259000000
1992 Feb,1076117000000,3157064000000
1992 Mar,1087449000000,3175420000000
1992 Apr,1099079000000,3207099000000
1992 May,1109693000000,3234778000000
1992 Jun,1125542000000,3254263000000
1992 Jul,1108523000000,3262036000000
1992 Aug,1097785000000,3261386000000
1992 Sep,1120234000000,3305736000000
1992 Oct,1116222000000,3309880000000
1992 Nov,1153619000000,3348624000000
1992 Dec,1215275000000,3433178000000
1993 Jan,1143768000000,3397738000000
1993 Feb,1129592000000,3404686000000
1993 Mar,1137567000000,3444200000000
1993 Apr,1140828000000,3450204000000
1993 May,1154289000000,3472703000000
1993 Jun,1180858000000,3484325000000
1993 Jul,1167402000000,3480083000000
1993 Aug,1155460000000,3476439000000
1993 Sep,1175545000000,3488618000000
1993 Oct,1185486000000,3514086000000
1993 Nov,1220876000000,3546318000000
1993 Dec,1287860000000,3651774000000
1994 Jan,1236946000000,3616734000000
1994 Feb,1228742000000,3612780000000
1994 Mar,1241312000000,3629400000000
1994 Apr,1247055000000,3637715000000
1994 May,1246405000000,3634783000000
1994 Jun,1278042000000,3651632000000
1994 Jul,1264712000000,3651126000000
1994 Aug,1243577000000,3627118000000
1994 Sep,1257383000000,3624824000000
1994 Oct,1263586000000,3639444000000
1994 Nov,1277371000000,3659473000000
1994 Dec,1343081000000,3735799000000
1995 Jan,1271973000000,3695976000000
1995 Feb,1266049000000,3706630000000
1995 Mar,1262191000000,3702886000000
1995 Apr,1277541000000,3719385000000
1995 May,1280740000000,3734600000000
1995 Jun,1303727000000,3759170000000
1995 Jul,1297229000000,3751150000000
1995 Aug,1276007000000,3754951000000
1995 Sep,1303692000000,3776711000000
1995 Oct,1297247000000,3785241000000
1995 Nov,1324930000000,3823433000000
1995 Dec,1423101000000,3937403000000
1996 Jan,1339876000000,3906893000000
1996 Feb,1328193000000,3916561000000
1996 Mar,1341316000000,3931433000000
1996 Apr,1356635000000,3940690000000
1996 May,1355700000000,3946536000000
1996 Jun,1395422000000,3966021000000
1996 Jul,1377764000000,3953451000000
1996 Aug,1364121000000,3956604000000
1996 Sep,1398051000000,3973985000000
1996 Oct,1394966000000,3970778000000
1996 Nov,1433207000000,3998359000000
1996 Dec,1528487000000,4090345000000
1997 Jan,1445663000000,4052403000000
1997 Feb,1440528000000,4059918000000
1997 Mar,1455677000000,4070899000000
1997 Apr,1455824000000,4076852000000
1997 May,1476228000000,4112046000000
1997 Jun,1524569000000,4139717000000
1997 Jul,1513630000000,4137802000000
1997 Aug,1497684000000,4122478000000
1997 Sep,1522876000000,4131073000000
1997 Oct,1525532000000,4142069000000
1997 Nov,1560332000000,4184181000000
1997 Dec,1626864000000,4265545000000
1998 Jan,1567225000000,4255362000000
1998 Feb,1569376000000,4264270000000
1998 Mar,1599617000000,4275050000000
1998 Apr,1615279000000,4310239000000
1998 May,1638215000000,4337152000000
1998 Jun,1686330000000,4357028000000
1998 Jul,1648020000000,4350013000000
1998 Aug,1635112000000,4340339000000
1998 Sep,1657140000000,4335145000000
1998 Oct,1660077000000,4366998000000
1998 Nov,1709659000000,4396454000000
1998 Dec,1785398000000,4471128000000
1999 Jan,1805976000000,4463577000000
1999 Feb,1775685000000,4447594000000
1999 Mar,1796445000000,4459586000000
1999 Apr,1811021000000,4496031000000
1999 May,1843509000000,4529333000000
1999 Jun,1886693000000,4555934000000
1999 Jul,1885415000000,4563119000000
1999 Aug,1850990000000,4540771000000
1999 Sep,1876545000000,4561347000000
1999 Oct,1882966000000,4578653000000
1999 Nov,1918079000000,4625175000000
1999 Dec,1972045000000,4708947000000
2000 Jan,1982585000000,4723291000000
2000 Feb,1973795000000,4738473000000
2000 Mar,1986051000000,4768884000000
2000 Apr,2027142000000,4826279000000
2000 May,2009080000000,4820008000000
2000 Jun,2024238000000,4805383000000
2000 Jul,2022811000000,4802374000000
2000 Aug,1989355000000,4798357000000
2000 Sep,2002243000000,4794882000000
