Time,US Dollars per Barrel,Index 2010=100
1990 Jan,20.59,26.0533505542481
1990 Feb,19.68,24.9018911562701
1990 Mar,18.12,22.9279607597365
1990 Apr,16.32,20.6503487637362
1990 May,16.21,20.5111613639806
1990 Jun,14.93,18.8915261668249
1990 Jul,16.81,21.2703653626474
1990 Aug,26.54,33.5821235410269
1990 Sep,33.62,42.5407307252948
1990 Oct,34.85,44.0970989225617
1990 Nov,31.54,39.9088235299167
1990 Dec,26.61,33.6706973408714
1991 Jan,22.81,28.8624053493151
1991 Feb,18.53,23.4467501588255
1991 Mar,18.21,23.0418413595366
1991 Apr,18.49,23.3961365589144
1991 May,18.72,23.6871647584033
1991 Jun,17.78,22.497745160492
1991 Jul,19.02,24.0667667577367
1991 Aug,19.3,24.4210619571145
1991 Sep,19.95,25.2435329556702
1991 Oct,21.56,27.2807303520927
1991 Nov,20.41,25.8255893546481
1991 Dec,17.63,22.3079441608253
1992 Jan,17.52,22.1687567610698
1992 Feb,17.65,22.3332509607809
1992 Mar,17.35,21.9536489614475
1992 Apr,18.65,23.5985909585588
1992 May,19.52,24.6994367566257
1992 Jun,20.88,26.4202991536037
1992 Jul,20.18,25.5345611551591
1992 Aug,19.62,24.8259707564035
1992 Sep,20.19,25.5472145551369
1992 Oct,20.04,25.3574135554702
1992 Nov,18.9,23.9149259580033
1992 Dec,17.93,22.6875461601587
1993 Jan,17.24,21.8144615616919
1993 Feb,18.23,23.0671481594921
1993 Mar,18.5,23.4087899588922
1993 Apr,18.44,23.3328695590255
1993 May,18.17,22.9912277596254
1993 Jun,17.37,21.9789557614031
1993 Jul,16.37,20.7136157636251
1993 Aug,16.43,20.7895361634918
1993 Sep,15.8,19.9923719648917
1993 Oct,16.44,20.8021895634696
1993 Nov,15.09,19.0939805664693
1993 Dec,13.36,16.9049423703135
1994 Jan,14.17,17.9298677685136
1994 Feb,13.75,17.3984249694469
1994 Mar,13.69,17.3225045695802
1994 Apr,15.15,19.169900966336
1994 May,16.43,20.7895361634918
1994 Jun,17.23,21.8018081617142
1994 Jul,18.04,22.8267335599143
1994 Aug,16.98,21.4854731622697
1994 Sep,16.13,20.4099341641584
1994 Oct,16.48,20.8528031633807
1994 Nov,17.2,21.7638479617808
1994 Dec,16.13,20.4099341641584
1995 Jan,16.88,21.3589391624919
1995 Feb,17.44,22.0675295612475
1995 Mar,17.35,21.9536489614475
1995 Apr,18.77,23.7504317582922
1995 May,18.43,23.3202161590477
1995 Jun,17.33,21.9283421614919
1995 Jul,16.06,20.3213603643139
1995 Aug,16.49,20.8654565633585
1995 Sep,16.77,21.2197517627363
1995 Oct,16.18,20.4732011640473
1995 Nov,16.82,21.2830187626252
1995 Dec,17.93,22.6875461601587
1996 Jan,17.79,22.5103985604698
1996 Feb,17.69,22.383864560692
1996 Mar,19.46,24.623516356759
1996 Apr,20.78,26.2937651538259
1996 May,19.12,24.1933007575145
1996 Jun,18.56,23.4847103587588
1996 Jul,19.56,24.7500503565368
1996 Aug,20.19,25.5472145551369
1996 Sep,22.14,28.0146275508039
1996 Oct,23.43,29.6469161479375
1996 Nov,22.25,28.1538149505595
1996 Dec,23.51,29.7481433477597
1997 Jan,23.29,29.4697685482486
1997 Feb,20.54,25.9900835543592
1997 Mar,19.42,24.5729027568479
1997 Apr,17.98,22.7508131600476
1997 May,19.47,24.6361697567368
1997 Jun,18.02,22.8014267599587
1997 Jul,18.45,23.3455229590033
1997 Aug,18.79,23.7757385582478
1997 Sep,18.73,23.6998181583811
1997 Oct,20.12,25.4586407552924
1997 Nov,19.16,24.2439143574256
1997 Dec,17.24,21.8144615616919
1998 Jan,15.07,19.0686737665138
1998 Feb,14.18,17.9425211684914
1998 Mar,13.24,16.7531015705801
1998 Apr,13.39,16.9429025702468
1998 May,13.97,17.676799768958
1998 Jun,12.48,15.7914431722689
1998 Jul,12.72,16.0951247717356
1998 Aug,12.49,15.8040965722467
1998 Sep,13.8,17.4616919693358
1998 Oct,13.26,16.7784083705357
1998 Nov,11.88,15.0322391736021
1998 Dec,10.41,13.1721893768685
1999 Jan,11.32,14.3236487748464
1999 Feb,10.75,13.602404976113
1999 Mar,12.86,16.2722723714245
1999 Apr,15.73,19.9037981650472
1999 May,16.12,20.3972807641806
1999 Jun,16.24,20.549121563914
1999 Jul,18.75,23.7251249583366
1999 Aug,20.21,25.5725213550925
1999 Sep,22.37,28.3056557502928
1999 Oct,22.19,28.0778945506928
1999 Nov,24.22,30.6465347461821
1999 Dec,25.01,31.6461533444266
2000 Jan,25.21,31.8992213439822
2000 Feb,27.15,34.3539809396715
2000 Mar,27.49,34.784196538916
2000 Apr,23.45,29.672222947893
2000 May,27.23,34.4552081394937
2000 Jun,29.62,37.479370734183
2000 Jul,28.16,35.6319743374272
2000 Aug,29.41,37.2136493346496
2000 Sep,32.08,40.5921071287168
2000 Oct,31.4,39.7316759302278
2000 Nov,32.33,40.9084421281613
2000 Dec,25.28,31.9877951438267
2001 Jan,25.95,32.8355729423379
2001 Feb,27.24,34.4678615394715
2001 Mar,25.02,31.6588067444044
2001 Apr,25.66,32.4686243429823
2001 May,27.55,34.8601169387826
2001 Jun,26.97,34.1262197400714
2001 Jul,24.8,31.3804319448933
2001 Aug,25.81,32.658425342649
2001 Sep,25.03,31.6714601443822
2001 Oct,20.73,26.230498153937
2001 Nov,18.69,23.64920455847
2001 Dec,18.52,23.4340967588477
2002 Jan,19.15,24.2312609574478
2002 Feb,19.98,25.2814931556035
2002 Mar,23.64,29.9126375474708
2002 Apr,25.43,32.1775961434934
2002 May,25.69,32.5065845429157
2002 Jun,24.49,30.9881765455821
2002 Jul,25.75,32.5825049427823
2002 Aug,26.78,33.8858051404936
2002 Sep,28.28,35.7838151371606
2002 Oct,27.53,34.8348101388271
2002 Nov,24.79,31.3677785449155
2002 Dec,27.89,35.2903325380272
2003 Jan,30.77,38.9345117316277
2003 Feb,32.88,41.6043791269391
2003 Mar,30.36,38.4157223325387
2003 Apr,25.49,32.2535165433601
2003 May,26.06,32.9747603420935
2003 Jun,27.91,35.3156393379827
2003 Jul,28.59,36.1760705364717
2003 Aug,29.68,37.5552911340497
2003 Sep,26.88,34.0123391402714
2003 Oct,29.01,36.7075133355385
2003 Nov,29.12,36.846700735294
2003 Dec,29.95,37.8969329334497
2004 Jan,31.4,39.7316759302278
2004 Feb,31.32,39.6304487304055
2004 Mar,33.67,42.6039977251837
2004 Apr,33.71,42.6546113250948
2004 May,37.63,47.6147441163844
2004 Jun,35.54,44.9701835210285
2004 Jul,37.93,47.9943461157178
2004 Aug,42.08,53.2455071064963
2004 Sep,41.65,52.7014109074518
2004 Oct,46.87,59.3064856958527
2004 Nov,42.23,53.435308106163
2004 Dec,39.09,49.4621405131402
2005 Jan,42.89,54.2704325046965
2005 Feb,44.56,56.3835503009857
2005 Mar,50.93,64.4437660868312
2005 Apr,50.64,64.0768174874756
2005 May,47.81,60.495905293764
2005 Jun,53.89,68.189172480254
2005 Jul,56.37,71.3272156747433
2005 Aug,61.87,78.286585662522
2005 Sep,61.65,78.0082108630109
2005 Oct,58.19,73.6301344706992
2005 Nov,54.98,69.5683930778319
2005 Dec,56.47,71.4537496745211
2006 Jan,62.36,78.9066022614332
2006 Feb,59.71,75.5534512673217
2006 Mar,60.93,77.0971660646108
2006 Apr,68,86.0431198489009
2006 May,68.61,86.8149772475455
2006 Jun,68.29,86.4100684482565
2006 Jul,72.51,91.7498032388795
2006 Aug,71.81,90.8640652404349
2006 Sep,61.97,78.4131196622998
2006 Oct,57.95,73.3264528712325
2006 Nov,58.13,73.5542140708325
2006 Dec,61,77.1857398644552
2007 Jan,53.4,67.5691558813428
2007 Feb,57.58,72.8582770720546
2007 Mar,60.6,76.679603865344
2007 Apr,65.1,82.3736338553448
2007 May,65.1,82.3736338553448
2007 Jun,68.19,86.2835344484787
2007 Jul,73.67,93.2175976363019
2007 Aug,70.13,88.7382940441679
2007 Sep,76.91,97.3172992291025
2007 Oct,82.15,103.947680817459
2007 Nov,91.27,115.487581597194
2007 Dec,89.43,113.159356001282
2008 Jan,90.82,114.918178598194
2008 Feb,93.75,118.625624791683
2008 Mar,101.84,128.862225373707
2008 Apr,109.05,137.985326757686
2008 May,122.77,155.345791527199
2008 Jun,131.52,166.417516507757
2008 Jul,132.55,167.720816705468
2008 Aug,114.57,144.97000354542
2008 Sep,99.29,125.635608379373
2008 Oct,72.69,91.9775644384795
2008 Nov,54.04,68.3789734799207
2008 Dec,41.53,52.5495701077185
2009 Jan,43.913,55.5648753224233
2009 Feb,41.7609259259259,52.8417699183164
2009 Mar,46.9509523809524,59.4089179813872
2009 Apr,50.2780952380952,63.6188849168512
2009 May,58.1005,73.516886540898
2009 Jun,69.1295454545455,87.4723788918456
2009 Jul,64.6543939393939,81.8097906836077
2009 Aug,71.6296825396825,90.6359023455974
2009 Sep,68.381746031746,86.5261583718621
2009 Oct,74.080606060606,93.7371539081167
2009 Nov,77.562,98.1423009076537
2009 Dec,74.8818181818182,94.750959651791
2010 Jan,77.1151666666667,97.5769048186466
2010 Feb,74.7215,94.5481026439654
2010 Mar,79.2976811594203,100.338527702058
2010 Apr,84.1360606060606,106.460722740319
2010 May,75.5374603174603,95.5805698702475
2010 Jun,74.725,94.5525313339576
2010 Jul,74.5156060606061,94.2875768071503
2010 Aug,75.88,96.0139990313912
2010 Sep,76.1110606060606,96.3063692581505
2010 Oct,81.7193650793651,103.40278122794
2010 Nov,84.5345454545455,106.964941557615
2010 Dec,90.0682608695652,113.96697300856
2011 Jan,92.6636507936508,117.251023689335
2011 Feb,97.7321666666667,123.664419552835
2011 Mar,108.645217391304,137.473139132498
2011 Apr,116.316984126984,147.180532436776
2011 May,108.18303030303,136.888315323248
2011 Jun,105.845454545455,133.930487219353
2011 Jul,107.879047619048,136.503673874574
2011 Aug,100.454782608696,127.109454402872
2011 Sep,100.832575757576,127.587491185037
2011 Oct,99.9196825396826,126.432370882736
2011 Nov,105.362424242424,133.319289656789
2011 Dec,104.263636363636,131.928949404685
2012 Jan,106.89303030303,135.256026726115
2012 Feb,112.70380952381,142.608638092425
2012 Mar,117.785,149.038071638276
2012 Apr,113.750793650794,143.933428985336
2012 May,104.158115942029,131.795430194643
2012 Jun,90.728253968254,114.802088674588
2012 Jul,96.7504545454546,122.422219939562
2012 Aug,105.280434782609,133.215545113889
2012 Sep,106.317666666667,134.527996103758
2012 Oct,103.388985507246,130.822218692004
2012 Nov,101.165757575758,128.009079466115
2012 Dec,101.166666666667,128.010229775203
2013 Jan,105.041449275362,132.91314719268
2013 Feb,107.657,136.222708140781
2013 Mar,102.613492063492,129.840955819607
2013 Apr,98.8519696969697,125.08135111671
2013 May,99.3482608695652,125.709328187939
2013 Jun,99.7426666666667,126.208385618367
2013 Jul,105.207826086957,133.123670427094
2013 Aug,108.058484848485,136.730722978071
2013 Sep,108.78,137.643684958286
2013 Oct,105.457826086957,133.440005426538
2013 Nov,102.580793650794,129.799581210157
2013 Dec,105.49303030303,133.484550729226
2014 Jan,102.251884057971,129.383398746705
2014 Feb,104.819333333333,132.632095007086
2014 Mar,104.042857142857,131.649588625955
2014 Apr,104.943787878788,132.789572321356
2014 May,105.731212121212,133.785931710515
2014 Jun,108.37253968254,137.128109121096
2014 Jul,105.224637681159,133.144942809664
2014 Aug,100.05253968254,126.600480339584
2014 Sep,95.8912121212121,121.33498613238
2014 Oct,86.1285507246377,108.981900182532
2014 Nov,76.958,97.3780355489958
2014 Dec,60.5514492753623,76.6181706915389
2015 Jan,47.4518181818182,60.0426835127417
2015 Feb,54.9326666666667,69.5085003179371
2015 Mar,52.8280303030303,66.8454197462501
2015 Apr,57.4195454545455,72.6552475178658
2015 May,62.4995238095238,79.0831473182661
