Time,Total Gross Assets Euro Area,Interest Rates Monetary Policy-Related Interest Rate Euro Area,Total Gross Assets USA,Interest Rates Monetary Policy-Related Interest Rate USA
1990 Jan,,,,8.25
1990 Feb,,,,8.25
1990 Mar,,,,8.25
1990 Apr,,,,8.25
1990 May,,,,8.25
1990 Jun,,,,8.25
1990 Jul,,,,8
1990 Aug,,,,8
1990 Sep,,,,8
1990 Oct,,,,7.75
1990 Nov,,,,7.5
1990 Dec,,,,7
1991 Jan,,,,6.75
1991 Feb,,,,6.25
1991 Mar,,,,6
1991 Apr,,,,5.75
1991 May,,,,5.75
1991 Jun,,,,5.75
1991 Jul,,,,5.75
1991 Aug,,,,5.5
1991 Sep,,,,5.25
1991 Oct,,,,5
1991 Nov,,,,4.75
1991 Dec,,,,4
1992 Jan,,,,4
1992 Feb,,,,4
1992 Mar,,,,4
1992 Apr,,,,3.75
1992 May,,,,3.75
1992 Jun,,,,3.75
1992 Jul,,,,3.25
1992 Aug,,,,3.25
1992 Sep,,,,3
1992 Oct,,,,3
1992 Nov,,,,3
1992 Dec,,,,3
1993 Jan,,,,3
1993 Feb,,,,3
1993 Mar,,,,3
1993 Apr,,,,3
1993 May,,,,3
1993 Jun,,,,3
1993 Jul,,,,3
1993 Aug,,,,3
1993 Sep,,,,3
1993 Oct,,,,3
1993 Nov,,,,3
1993 Dec,,,,3
1994 Jan,,,,3
1994 Feb,,,,3.25
1994 Mar,,,,3.5
1994 Apr,,,,3.75
1994 May,,,,4.25
1994 Jun,,,,4.25
1994 Jul,,,,4.25
1994 Aug,,,,4.75
1994 Sep,,,,4.75
1994 Oct,,,,4.75
1994 Nov,,,,5.5
1994 Dec,,,,5.5
1995 Jan,,,,5.5
1995 Feb,,,,6
1995 Mar,,,,6
1995 Apr,,,,6
1995 May,,,,6
1995 Jun,,,,6
1995 Jul,,,,5.75
1995 Aug,,,,5.75
1995 Sep,,,,5.75
1995 Oct,,,,5.75
1995 Nov,,,,5.75
1995 Dec,,,,5.5
1996 Jan,,,,5.25
1996 Feb,,,,5.25
1996 Mar,,,,5.25
1996 Apr,,,,5.25
1996 May,,,,5.25
1996 Jun,,,,5.25
1996 Jul,,,,5.25
1996 Aug,,,,5.25
1996 Sep,,,,5.25
1996 Oct,,,,5.25
1996 Nov,,,,5.25
1996 Dec,,,,5.25
1997 Jan,,,,5.25
1997 Feb,,,,5.25
1997 Mar,,,,5.5
1997 Apr,,,,5.5
1997 May,,,,5.5
1997 Jun,,,,5.5
1997 Jul,,,,5.5
1997 Aug,,,,5.5
1997 Sep,,,,5.5
1997 Oct,,,,5.5
1997 Nov,,,,5.5
1997 Dec,,,,5.5
1998 Jan,,,,5.5
1998 Feb,,,,5.5
1998 Mar,,,,5.5
1998 Apr,,,,5.5
1998 May,,,,5.5
1998 Jun,,,,5.5
1998 Jul,,,,5.5
1998 Aug,,,,5.5
1998 Sep,,,,5.25
1998 Oct,,,,5
1998 Nov,,,,4.75
1998 Dec,,,,4.75
1999 Jan,,3,,4.75
1999 Feb,,3,,4.75
1999 Mar,,3,,4.75
1999 Apr,,2.5,,4.75
1999 May,,2.5,,4.75
1999 Jun,,2.5,,5
1999 Jul,,2.5,,5
1999 Aug,,2.5,,5.25
1999 Sep,,2.5,,5.25
1999 Oct,,2.5,,5.25
1999 Nov,,3,,5.5
1999 Dec,,3,,5.5
2000 Jan,,3,,5.5
2000 Feb,,3.25,,5.75
2000 Mar,,3.5,,6
2000 Apr,,3.75,,6
2000 May,,3.75,,6.5
2000 Jun,,4.25,,6.5
2000 Jul,,4.25,,6.5
2000 Aug,,4.25,,6.5
2000 Sep,,4.5,,6.5
2000 Oct,,4.75,,6.5
2000 Nov,,4.75,,6.5
2000 Dec,,4.75,,6.5
2001 Jan,,4.75,,6.0161
2001 Feb,,4.75,,5.5
2001 Mar,,4.75,,5.3065
2001 Apr,,4.75,,4.7833
2001 May,,4.5,,4.2258
2001 Jun,,4.5,,3.9667
2001 Jul,,4.5,,3.75
2001 Aug,,4.25,,3.6613
2001 Sep,,3.75,,3.2667
2001 Oct,,3.75,,2.5161
2001 Nov,,3.25,,2.0833
2001 Dec,843138000000,3.25,656334000000,1.8306
2002 Jan,894483379999.999,3.25,662106000000,1.75
2002 Feb,877663620000,3.25,657251000000,1.75
2002 Mar,887981000000,3.25,662101000000,1.75
2002 Apr,856525660000,3.25,675268000000,1.75
2002 May,860072340000,3.25,671247000000,1.75
2002 Jun,857850000000,3.25,681557000000,1.75
2002 Jul,864016020000,3.25,680546000000,1.75
2002 Aug,866991039999.999,3.25,683740000000,1.75
2002 Sep,873795000000,3.25,680813000000,1.75
2002 Oct,871615680000.001,3.25,684210000000,1.75
2002 Nov,884878320000,3.25,694020000000,1.3333
2002 Dec,899164000000,2.75,732048000000,1.25
2003 Jan,875116000000,2.75,717367000000,1.25
2003 Feb,873991000000,2.75,721519000000,1.25
2003 Mar,878726000000,2.5,728474000000,1.25
2003 Apr,844984000000,2.5,747238000000,1.25
2003 May,884977999999.999,2.5,739563000000,1.25
2003 Jun,904008000000,2,739933000000,1.2
2003 Jul,904989000000,2,742323000000,1
