Time;Austria;Belgium;Denmark;Finland;France;Germany;Greece;Ireland;Italy;Luxembourg;Netherlands;Portugal;Spain;Sweden;United Kingdom
Jan-1990;8,17;9,93;10,5;12,68;9,55;7,6;..;9,7;..;..;8,22;..;14,49;12,87;10,89
Feb-1990;8,6;10,56;11,31;..;10,03;8,4;..;10,44;..;..;8,78;..;14,62;13,7;11,33
Mar-1990;8,56;10,36;11,24;13,16;10,01;8,7;..;10,95;..;..;8,98;..;14,86;13,75;12,42
Apr-1990;8,68;10,03;10,58;13,44;9,62;8,7;..;10,39;..;..;8,89;..;14,79;13,64;12,74
May-1990;8,83;9,96;10,44;13,1;9,57;8,7;..;10,2;..;..;8,95;..;14,63;13,28;12,41
Jun-1990;8,84;9,93;10,36;13,11;9,72;8,8;..;10,03;..;..;8,96;..;14,49;12,89;11,8
Jul-1990;8,67;9,63;10,03;13,4;9,59;8,6;..;9,68;..;..;8,74;..;14,45;12,82;11,84
Aug-1990;8,83;9,99;10,47;13,24;10,12;8,9;..;10,3;..;..;8,99;..;14,67;13,26;12,15
Sep-1990;8,99;10,22;10,83;13,35;10,48;9,1;..;10,74;..;..;9,16;..;15,14;13,35;12,1
Oct-1990;9,02;10,16;10,77;13,47;10,38;9,1;..;10,47;..;..;9,19;..;14,86;13,25;11,74
Nov-1990;8,85;9,99;10,67;13,11;10,2;9;..;10,34;..;..;9,13;..;14,59;12,8;11,37
Dec-1990;8,69;9,98;10,36;13,54;9,92;8,9;..;10,05;..;..;9,06;..;14,54;12,3;10,84
Jan-1991;8,85;9,92;10,28;13,02;9,8;8,9;..;10,05;..;..;9,15;..;14,52;11,85;10,59
Feb-1991;8,55;9,32;9,42;12,63;9,14;8,4;..;9,59;..;..;8,64;..;14,13;11,15;10,13
Mar-1991;8,41;9,28;9,32;12,53;9,06;8,4;..;9,35;13,77;..;8,66;..;13,15;11,33;10,29
Apr-1991;8,4;9,24;9,21;12,19;8,89;8,4;..;9,34;13,43;..;8,57;..;12,53;11,34;10,19
May-1991;8,44;9,17;9,11;11,55;8,87;8,4;..;9,26;13,06;..;8,59;..;11,86;10,77;10,38
Jun-1991;8,5;9,26;9,2;11,1;9,12;8,4;..;9,19;13,09;..;8,64;..;11,92;10,6;10,58
Jul-1991;8,62;9,46;9,34;11,24;9,16;8,6;..;9,4;13,34;..;8,82;..;12,15;10,61;10,28
Aug-1991;8,65;9,41;9,34;11,06;9,09;8,6;..;9,35;13,45;..;8,84;..;12,09;10,62;10,03
