Time;Austria;Belgium;Denmark;Finland;France;Germany;Greece;Ireland;Italy;Luxembourg;Netherlands;Portugal;Spain;Sweden;UnitedKingdom
janv-90;9,15;10,4;12,2;16,05;11,33;8,3;;12;12,85;;8,92;17,25;15,6;12,62;15,16
Feb-1990;8,74;10,4;12,39;16,01;11,05;8,31;;12,31;12,93;;9,01;17,3;15,5;14,88;15,11
mars-90;9,06;10,3;12,12;15,38;10,67;8,48;;12,31;12,96;;8,8;17,29;15,43;14,68;15,29
Apr-1990;9,13;10,05;11,38;13,94;10,02;8,27;;12;12,33;;8,57;16,95;14,99;13,74;15,21
May-1990;8,75;9,85;10,76;12,77;9,81;8,33;;11,06;12,27;;8,48;16,36;15,05;12,97;15,15
Jun-1990;8,7;9,4;10,71;12,52;10,07;8,3;;10,31;11,49;;8,36;16,42;15;12,56;14,97
Jul-1990;8,69;9,2;10,32;12,45;10,05;8,26;;10,69;11,59;;8,27;16;15,01;12,58;14,95
Aug-1990;8,77;9,15;10,53;12,51;10,19;8,45;;11,31;11,64;;8,54;17,09;15,02;12,99;15
sept-90;8,92;8,95;10,76;13,09;10,35;8,47;;11;10,82;;8,51;17,04;15,16;13,07;14,91
oct-90;9,04;8,85;10,43;14,41;10,04;8,6;;10,44;11,49;;8,51;16,63;14,97;14,67;14,03
nov-90;9,17;9;10,48;14,53;10;8,88;;10,75;12,67;;8,82;17,29;14,98;14,89;13,64
Dec-1990;9,45;10,05;10,52;14,3;10,27;9,21;;11,5;13,72;;9,4;17,21;15,12;14,36;13,81
janv-91;9,66;9,86;10,6;14,21;10,27;9,35;;11,19;13,39;;9,42;17,16;15,15;13,37;13,97
Feb-1991;9,43;9,65;10,34;14,02;9,79;9,08;;11,12;13,52;;9,1;17,56;14,7;12,05;13,25
mars-91;9,27;9,37;10,14;14,72;9,43;9,09;;10,69;12,64;;9,13;17,67;13,79;12,1;12,4
Apr-1991;9,26;9,3;10;13,97;9,35;9,18;;10,19;12,04;;9,19;17,75;13,46;12,27;11,95
May-1991;9,28;9,09;9,77;11,98;9,23;9,08;;10,19;11,57;;9,13;17,75;12,94;11,74;11,53
Jun-1991;9,3;9,15;9,5;11,25;9,71;9,06;;10,12;11,56;;9,15;17,88;12,49;10,61;11,24
Jul-1991;9,32;9,2;9,48;10,69;9,59;9,15;;10,16;11,81;;9,17;17,94;12,82;10,57;11,09
Aug-1991;9,5;9,33;9,7;11,09;9,6;9,31;;10;11,97;;9,34;17,94;12,72;10,7;10,89
sept-91;9,51;9,2;9,83;13,2;9,43;9,27;;10,06;11,75;;9,3;17,9;12,39;10,27;10,29
oct-91;9,64;9,29;9,68;14,38;9,33;9,38;;10,22;11,51;;9,33;17,83;12,62;10,75;10,4
nov-91;9,66;9,47;9,49;14,66;9,54;9,43;;10,44;11,82;;9,42;17,72;12,72;11,06;10,48
Dec-1991;9,73;9,68;9,89;12,78;10,11;9,58;;10,75;12,92;;9,7;17,75;12,92;13,63;10,78
janv-92;9,79;9,48;10,17;12,25;9,98;9,53;;10,5;12,15;;9,55;18,25;12,88;12,49;10,65
Feb-1992;9,74;9,58;10,21;11,74;10,05;9,61;;10,38;12,21;;9,6;17,83;12,75;12,23;10,37
mars-92;9,64;9,63;10,18;12,38;10,12;9,7;;10,69;12,3;;9,61;17,52;12,57;11,7;10,62
Apr-1992;9,64;9,56;10,2;14,21;10,04;9,75;;10,38;12,41;;9,5;17,11;12,55;11,85;10,62
May-1992;9,74;9,57;10,24;13,73;9,97;9,79;;10;12,41;;9,52;17;12,5;11,66;10,06
Jun-1992;9,69;9,58;10,54;13,7;10,11;9,75;;10,12;13,46;;9,52;17,14;12,62;11,59;9,98
Jul-1992;9,75;9,62;10,65;13,96;10,22;9,78;;10,44;15,64;;9,58;16,82;12,95;11,92;10,15
Aug-1992;9,85;9,75;11,19;15,09;10,39;9,88;;10,81;15,43;;9,82;15,52;13,48;13,26;10,35
sept-92;9,42;9,55;12,76;16,41;11,04;9,5;;16,5;18,22;;9,35;14,94;14,12;20,18;9,99
oct-92;8,84;8,7;13,01;13,37;11,12;8,94;;14,5;15,58;;8,74;15,76;14,23;14,39;8,32
nov-92;8,68;8,72;12,99;11,5;9,76;8,94;;40;14,5;;8,78;16,06;14,29;12,45;7,21
Dec-1992;8,74;8,71;18,15;10,68;11,34;9,04;;17,5;13,85;;8,66;16,51;15,16;10,58;7,15
janv-93;8,43;8,24;14,45;10,64;12,1;8,59;;24,5;12,67;;8,11;14,46;14,41;9,76;6,94
Feb-1993;8,02;8,75;17,32;9,19;12,06;8,4;;13,79;11,5;;8,09;13,69;13,83;9,32;6,16
mars-93;7,72;8,4;13,37;8,9;11,29;7,98;;9,4;11,35;;7,6;15,72;14,65;9,71;5,98
Apr-1993;7,59;8,05;10,65;8,73;9,1;7,92;;8,38;11,45;;7,53;17,12;13,97;9,48;5,98
May-1993;7,17;7,27;9,19;8,25;7,64;7,51;;7,56;10,81;;7,07;15,29;12,85;8,74;5,97
Jun-1993;6,91;6,95;8,15;7,62;7,32;7,6;;6,48;10,25;;6,73;12,61;11,1;8,32;5,89
Jul-1993;6,66;7,24;10,69;7,27;8,1;7,24;;6,33;9,54;;6,55;13,11;11,27;8,21;5,95
Aug-1993;6,6;9,53;12,08;6,65;7,93;6,61;;6,56;9,33;;6,36;11,42;10,55;7,59;5,84
sept-93;6,61;9,87;10,16;6,68;7,29;6,63;;6,93;9,11;;6,35;11,02;9,98;7,53;5,91
oct-93;6,59;9,13;8,69;6,87;6,98;6,64;;6,64;8,78;;6,3;11,31;9,58;7,45;5,76
nov-93;6,22;8,17;8,01;6,58;6,72;6,31;;6,52;9,01;;5,96;11,52;9,22;7,22;5,57
Dec-1993;5,76;7,09;7,52;5,9;6,52;6,11;;6,34;8,59;;5,6;11,67;8,86;6,89;5,33
janv-94;5,46;6,96;6,39;5,19;6,32;5,89;;5,91;8,42;;5,22;11,08;8,77;6,97;5,39
Feb-1994;5,39;6,45;6,38;4,82;6,3;5,91;;6,14;8,45;;5,29;10;8,62;6,98;5,22
mars-94;5,38;6,15;6,22;4,8;6,25;5,84;21,68;6,31;8,42;;5,32;9,62;8,14;7,04;5,16
Apr-1994;5,39;5,93;6,18;5,13;6,01;5,59;21,86;5,99;8,11;;5,3;11,88;7,88;7,09;5,21
May-1994;5,08;5,34;5,94;5,14;5,64;5,2;67,23;5,75;7,81;;5,13;11,07;7,68;7;5,17
Jun-1994;4,97;5,42;6,22;5,61;5,56;5,07;47,9;5,56;8,11;;5,05;13,7;7,71;6,99;5,13
Jul-1994;4,84;5,46;6,13;5,46;5,64;4,97;26,94;5,75;8,48;;4,92;12,71;7,75;7,32;5,2
Aug-1994;4,8;5,5;6,6;5,96;5,6;5;22,93;6,25;8,92;;4,97;11,94;7,81;7,68;5,53
sept-94;4,87;5,4;6,61;5,57;5,63;5,07;20,54;5,75;8,72;;5,07;10,66;7,84;7,71;5,67
oct-94;5,03;5,22;6,43;5,39;5,65;5,22;19,74;5,5;8,85;;5,2;10,16;7,82;7,95;5,91
nov-94;5,05;5,14;6,33;5,43;5,61;5,21;18,9;5,81;8,76;;5,23;10;7,86;8,11;6,06
Dec-1994;5,15;5,37;6,2;5,7;5,95;5,4;18,1;6,44;9,04;;5,42;10,48;8,22;7,97;6,37
janv-95;5,12;5,36;6,2;5,85;5,92;5,16;18,25;6,13;9,13;;5,18;10,68;8,94;8,02;6,56
Feb-1995;5;5,42;5,97;5,99;5,82;5,1;18,08;6,44;9,09;;5,11;9,88;8,6;7,9;6,75
mars-95;5,01;6,34;7,32;6,06;8,06;5,07;18,02;7;11,01;;5,1;11,02;9,56;8,67;6,66
Apr-1995;4,82;5,32;7,07;5,97;7,78;4,68;17,17;6,81;10,96;;4,69;10,76;9,35;8,78;6,67
May-1995;4,66;5,18;6,79;5,87;7,47;4,59;16,49;6,63;10,45;;4,49;9,96;9,38;8,77;6,72
Jun-1995;4,56;4,65;6,72;6,02;7,2;4,53;15,75;6,75;10,95;;4,28;9,88;9,63;9,16;6,64
Jul-1995;4,55;4,56;6,54;6,13;6,46;4,56;15,58;6,5;10,96;;4,18;9,5;9,65;9,26;6,8
Aug-1995;4,47;4,46;6,07;6,08;5,94;4,46;15,34;6,08;10,47;;4,1;9,26;9,6;9,15;6,79
sept-95;4,1;4,23;5,71;5,95;5,96;4,19;15,05;5,88;10,4;;3,92;9,25;9,38;8,92;6,72
oct-95;4,18;4,2;5,73;5,61;6,87;4,09;15,19;5,58;10,77;;3,94;9,27;9,48;8,86;6,73
nov-95;4,29;3,9;5,37;4,93;5,89;4,01;16,03;5,69;10,68;;3,82;9,05;9,48;8,84;6,64
Dec-1995;4,06;3,78;5;4,54;5,56;3,94;15,91;5,48;10,61;;3,66;8,92;9,21;8,62;6,49
janv-96;3,77;3,51;4,54;4,2;4,7;3,61;14,51;5,09;10,07;;3,28;8,4;8,89;8,19;6,36
Feb-1996;3,32;3,27;4,45;4,28;4,41;3,35;14,07;5,13;9,93;;3,1;8,1;8,71;7,66;6,16
mars-96;3,34;3,27;4,34;4,01;4,27;3,36;14,1;5,1;9,85;;3,17;8;8,44;7,08;6,05
Apr-1996;3,26;3,24;3,95;3,82;4;3,33;14,1;4,96;9,62;;2,94;7,5;7,58;6,25;6
May-1996;3,21;3,22;3,84;3,76;3,9;3,29;14,12;5,13;8,92;;2,7;7,2;7,47;6,19;6,02
Jun-1996;3,33;3,27;3,96;3,72;3,97;3,39;14,43;5,24;8,77;;2,9;7,3;7,3;5,79;5,85
Jul-1996;3,48;3,34;3,93;3,63;3,84;3,38;13,95;5,57;8,75;;3,08;7,3;7,25;5,43;5,73
Aug-1996;3,44;3,26;3,92;3,54;3,96;3,29;13,66;5,84;8,81;;3,01;7,2;7,33;5,17;5,75
sept-96;3,34;3,09;3,83;3,28;3,75;3,12;13,11;5,69;8,44;;2,81;7,2;7,06;4,8;5,77
oct-96;3,32;3,04;3,67;3,1;3,51;3,12;12,99;5,7;8,02;;2,89;6,9;6,85;4,61;5,94
nov-96;3,32;3,06;3,67;3,08;3,47;3,19;13,4;5,68;7,41;;3,01;6,9;6,7;4,43;6,3
Dec-1996;3,35;3,03;3,65;3,08;3,44;3,23;12,95;5,89;7,25;;3,08;6,4;6,36;3,88;6,35
janv-97;3,33;3,03;3,63;3,07;3,35;3,14;12,13;5,84;7,23;;3,03;6,2;5,93;3,76;6,32
Feb-1997;3,3;3,13;3,62;3,07;3,33;3,19;11,86;5,76;7,36;;3,01;6,2;5,89;3,93;6,19
mars-97;3,34;3,45;3,68;3,07;3,36;3,26;11,64;5,73;7,43;;3,2;6,3;5,83;4,13;6,2
Apr-1997;3,42;3,26;3,67;3,08;3,4;3,23;10,74;6,25;7,13;;3,2;6;5,57;4,03;6,38
May-1997;3,43;3,24;3,63;3,08;3,48;3,17;10,47;6,2;6,83;;3,22;5,7;5,27;4,09;6,45
Jun-1997;3,4;3,27;3,62;3,07;3,43;3,14;11,55;6,25;6,88;;3,23;5,9;5,21;4,05;6,66
