,FM.Q.U2.EUR.DS.EI.DJES50I.HSTA,FM.Q.U2.EUR.DS.EI.DJEURST.HSTA
2015Q2,3621.1146,373.2619
2015Q1,3441.9822,351.8175
2014Q4,3102.4749,313.0017
2014Q3,3173.1447,319.3913
2014Q2,3213.9507,326.4896
2014Q1,3090.8484,315.8531
2013Q4,3017.5605,304.8589
2013Q3,2782.2815,282.1295
2013Q2,2696.1122,271.7837
2013Q1,2676.5843,268.2301
2012Q4,2543.3271,251.9626
2012Q3,2400.9411,238.7220
2012Q2,2226.1589,223.9531
2012Q1,2473.6399,243.7462
2011Q4,2277.7851,222.4308
2011Q3,2381.5676,235.9678
2011Q2,2862.6710,281.1852
2011Q1,2932.9304,285.4515
2010Q4,2817.7640,273.4351
2010Q3,2715.9394,259.5399
2010Q2,2735.6699,261.0983
2010Q1,2848.9657,267.9640
2009Q4,2872.7398,268.1134
2009Q3,2660.5826,247.2195
2009Q2,2376.5646,220.4968
2009Q1,2166.4329,200.1573
2008Q4,2497.6646,228.6871
2008Q3,3278.7570,309.6883
2008Q2,3705.5924,355.8727
2008Q1,3809.3892,361.7871
2007Q4,4377.9002,417.8315
2007Q3,4317.5613,416.3580
2007Q2,4416.1717,429.0272
2007Q1,4150.5138,402.4886
2006Q4,4032.4234,383.2804
2006Q3,3726.7963,350.2073
2006Q2,3692.9222,348.2290
2006Q1,3729.4132,347.6025
2005Q4,3433.0801,315.1924
2005Q3,3307.9703,303.3543
2005Q2,3063.7183,280.1370
2005Q1,3025.2922,276.1571
2004Q4,2869.6853,259.1606
2004Q3,2708.6511,244.0224
2004Q2,2794.8779,249.7873
2004Q1,2846.5096,251.5804
2003Q4,2614.3371,232.9633
2003Q3,2511.4532,221.6622
2003Q2,2339.9810,204.3084
2003Q1,2217.3938,193.4962
2002Q4,2470.9461,212.1850
2002Q3,2658.2128,228.5260
2002Q2,3445.0955,293.5524
2002Q1,3660.2211,307.5607
2001Q4,3604.7831,298.6139
2001Q3,3749.5165,313.4818
2001Q2,4363.4859,361.1360
2001Q1,4487.3982,372.5262
2000Q4,4882.4765,404.0494
2000Q3,5170.3156,430.5920
2000Q2,5200.8174,430.9852
2000Q1,5049.0234,430.1227
1999Q4,4177.0734,355.2497
1999Q3,3770.1180,323.5755
1999Q2,3697.4115,318.4057
1999Q1,3494.7727,305.1861
1998Q4,2973.3724,268.9685
1998Q3,3234.9733,295.3586
1998Q2,3302.2335,302.6542
1998Q1,2788.6956,254.3688
1997Q4,2454.8058,221.0865
1997Q3,2547.8945,225.5627
1997Q2,2227.6125,199.2700
1997Q1,2038.1397,183.6991
1996Q4,1762.9348,160.2941
1996Q3,1625.6588,149.3761
1996Q2,1661.6375,152.0026
1996Q1,1578.5598,144.6978
1995Q4,1440.3518,133.2615
1995Q3,1438.6509,135.1142
1995Q2,1363.6529,128.9969
1995Q1,1309.5686,124.7758
1994Q4,1313.8712,127.3055
1994Q3,1348.7597,131.9773
1994Q2,1382.1591,136.0383
1994Q1,1410.4709,138.4280
1993Q4,1353.3530,130.7038
1993Q3,1247.2076,122.3092
1993Q2,1124.9634,110.7125
1993Q1,1091.1888,106.3533
1992Q4,990.1177,96.5261
1992Q3,990.8091,97.2971
1992Q2,1080.1665,108.4252
1992Q1,1054.1411,106.3455
1991Q4,991.8652,100.6623
1991Q3,1003.9855,104.1088
1991Q2,1017.5662,106.9328
1991Q1,914.2628,96.7020
1990Q4,884.8514,93.7368
1990Q3,1011.2312,108.3365
1990Q2,1111.1883,120.2338
1990Q1,1083.8818,117.0517
1989Q4,1014.7618,112.0209
1989Q3,1016.3606,111.0434
1989Q2,917.2726,100.7914
1989Q1,877.2295,95.0934
1988Q4,832.7243,90.1477
1988Q3,778.3211,84.5250
1988Q2,719.4640,78.9480
1988Q1,681.8652,74.2022
1987Q4,726.0564,79.8023
1987Q3,938.1692,101.7814
1987Q2,881.8612,97.0422
1987Q1,858.6647,95.5992
