,EXR.Q.USD.EUR.SP00.A
2015Q2,1.1053
2015Q1,1.1261
2014Q4,1.2498
2014Q3,1.3256
2014Q2,1.3711
2014Q1,1.3696
2013Q4,1.3610
2013Q3,1.3242
2013Q2,1.3062
2013Q1,1.3206
2012Q4,1.2967
2012Q3,1.2502
2012Q2,1.2814
2012Q1,1.3108
2011Q4,1.3482
2011Q3,1.4127
2011Q2,1.4391
2011Q1,1.3680
2010Q4,1.3583
2010Q3,1.2910
2010Q2,1.2708
2010Q1,1.3829
2009Q4,1.4779
2009Q3,1.4303
2009Q2,1.3632
2009Q1,1.3029
2008Q4,1.3180
2008Q3,1.5050
2008Q2,1.5622
2008Q1,1.4976
2007Q4,1.4486
2007Q3,1.3738
2007Q2,1.3481
2007Q1,1.3106
2006Q4,1.2887
2006Q3,1.2743
2006Q2,1.2582
2006Q1,1.2023
2005Q4,1.1884
2005Q3,1.2199
2005Q2,1.2594
2005Q1,1.3113
2004Q4,1.2977
2004Q3,1.2220
2004Q2,1.2046
2004Q1,1.2497
2003Q4,1.1890
2003Q3,1.1248
2003Q2,1.1372
2003Q1,1.0731
2002Q4,0.9994
2002Q3,0.9838
2002Q2,0.9188
2002Q1,0.8766
2001Q4,0.8959
2001Q3,0.8903
2001Q2,0.8725
2001Q1,0.9232
2000Q4,0.8683
2000Q3,0.9052
2000Q2,0.9332
2000Q1,0.9865
1999Q4,1.0380
1999Q3,1.0486
1999Q2,1.0569
1999Q1,1.1216
