,MNA.Q.N.AT.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.N.FI.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.N.FR.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.N.IE.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.N.IT.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.N.LU.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.N.NL.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.N.PT.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.N.SE.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.Y.BE.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,MNA.Q.Y.DE.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,MNA.Q.Y.DK.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.Y.ES.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,MNA.Q.Y.GB.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N,MNA.Q.Y.GR.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N
2015Q1,73901.58,44369.00,516769.90,,374148.27,,159415.92,41215.34,937647.39,94879.34,687770.12,459623.00,268133.00,423981.65,46535.50
2014Q4,79778.87,48322.00,525988.90,44263.20,390898.84,,166216.33,42334.17,982313.71,94581.29,685902.38,457312.00,265667.00,422406.14,46611.23
2014Q3,78134.59,46330.00,507111.00,45209.32,385977.35,10501.59,155989.47,43132.44,878718.14,94378.12,681136.53,455834.00,263900.00,418937.88,46802.60
2014Q2,75974.19,47110.00,515434.60,44548.25,386574.32,10555.89,160722.08,42346.89,957399.81,94083.90,680685.67,453087.00,262551.00,415965.07,46492.69
2014Q1,73656.55,44533.00,512337.00,43337.63,373674.78,10322.73,155570.99,40479.52,914365.00,93990.93,681265.30,452007.00,261179.00,412197.17,46371.66
2013Q4,79882.05,48519.00,525088.20,42538.99,393143.27,10542.81,163637.01,42105.58,957147.13,93626.76,676080.73,451136.00,260379.00,408579.09,46024.28
2013Q3,77902.65,46566.00,506539.00,43427.70,387596.57,10098.93,154082.30,42472.16,856396.91,93475.33,673053.62,450322.00,259636.00,406926.23,46112.45
2013Q2,75526.75,47356.00,516122.80,41553.39,388770.44,10421.45,158861.87,42025.24,936704.35,93105.40,671056.98,447153.00,259312.00,404030.78,46338.48
2013Q1,73310.56,44611.00,509428.30,41744.11,374192.96,10073.40,155514.99,40203.61,899392.63,92876.35,665775.61,450052.00,259535.00,401450.63,46523.18
2012Q4,79197.67,48499.00,520967.40,43034.22,396852.69,10440.08,161803.41,41771.92,934269.98,93052.69,668480.76,449075.00,260378.00,399073.18,47354.23
2012Q3,77559.81,46613.00,501019.40,42651.72,391305.73,9835.35,154698.76,43058.49,843742.58,92944.40,671250.23,451436.00,262362.00,400425.43,47831.91
2012Q2,75516.21,47802.00,510647.80,41649.92,397161.19,10180.81,160791.65,42638.87,929681.58,92861.02,670670.59,452875.00,263684.00,397117.75,48307.98
2012Q1,73650.77,46259.00,511128.00,41634.88,385052.62,9876.72,157939.69,42057.86,895738.70,93164.82,669833.32,454065.00,265375.00,397825.70,49173.43
2011Q4,77929.19,49969.00,520101.80,42563.70,407080.17,10343.89,163654.00,43608.54,937264.07,92996.15,667756.23,454772.00,266973.00,397556.42,49675.55
2011Q3,77206.51,47491.00,500502.00,42932.50,403552.73,9871.44,156701.00,44989.49,853072.89,93036.40,667756.23,452238.00,267955.00,397615.17,51210.49
2011Q2,75381.92,48434.00,512055.40,42742.43,411268.34,10109.04,161741.00,44566.38,931264.45,92907.02,665180.03,458734.00,269239.00,394865.62,52316.12
2011Q1,72726.61,46016.00,507377.20,41262.82,393215.96,10073.68,159922.00,43478.36,892179.16,92749.85,663956.32,453629.00,270070.00,393965.75,53124.81
2010Q4,77350.79,49633.00,513801.80,40708.08,413258.15,10173.39,163553.00,45303.65,943201.72,92166.20,651960.57,452892.00,270413.00,391864.42,54617.62
2010Q3,75417.40,46189.00,492118.00,41944.88,401305.62,9655.08,154294.00,45806.01,826814.52,91809.69,647194.67,453733.00,270410.00,391767.49,55426.19
2010Q2,72714.23,47562.00,500260.10,41029.21,405234.59,9890.86,158333.00,45141.04,905711.69,91336.26,642299.95,448088.00,270299.00,389250.00,57371.62
2010Q1,68725.44,43716.00,492297.20,41246.27,385896.05,9651.47,155332.00,43679.11,844266.07,90424.85,629032.75,443935.00,269791.00,385483.08,58983.85
2009Q4,75709.88,47319.00,503004.10,40287.00,405398.92,9634.05,160218.14,44602.53,871453.18,90259.05,624218.08,440728.00,268985.00,383531.57,59990.12
