,EXR.Q.E1.EUR.ERC0.A
2014Q4,95.5886
2014Q3,97.9107
2014Q2,100.1314
2014Q1,100.6823
2013Q4,99.9753
2013Q3,99.2085
2013Q2,98.2969
2013Q1,98.2882
2012Q4,95.5878
2012Q3,93.7474
2012Q2,95.9114
2012Q1,96.9908
2011Q4,99.4235
2011Q3,100.6260
2011Q2,102.5517
2011Q1,100.1881
2010Q4,100.9767
2010Q3,99.4941
2010Q2,100.3752
2010Q1,105.5719
2009Q4,110.5707
2009Q3,109.2968
2009Q2,108.7366
2009Q1,107.8683
2008Q4,104.7577
2008Q3,108.5738
2008Q2,111.3010
2008Q1,109.4131
2007Q4,108.3091
2007Q3,106.1265
2007Q2,106.2236
2007Q1,105.0027
2006Q4,104.3470
2006Q3,104.6182
2006Q2,104.0011
2006Q1,101.7856
2005Q4,101.5690
2005Q3,102.7147
2005Q2,104.3797
2005Q1,106.3492
2004Q4,106.5866
2004Q3,104.2088
2004Q2,103.7562
2004Q1,106.3480
2003Q4,103.9288
2003Q3,101.8836
2003Q2,102.1580
2003Q1,97.7728
2002Q4,93.1617
2002Q3,92.1345
2002Q2,88.9915
2002Q1,87.0172
2001Q4,87.5160
2001Q3,87.0187
2001Q2,85.8522
2001Q1,88.5320
2000Q4,84.0223
2000Q3,85.6884
2000Q2,86.9687
2000Q1,89.7560
1999Q4,93.0124
1999Q3,94.9601
1999Q2,96.3405
1999Q1,100.0000
1998Q4,103.3838
1998Q3,101.1836
1998Q2,99.0974
1998Q1,97.8964
1997Q4,99.5290
1997Q3,96.3788
1997Q2,100.1982
1997Q1,103.4001
1996Q4,107.9453
1996Q3,109.8156
1996Q2,108.9314
1996Q1,110.9116
1995Q4,111.6479
1995Q3,110.6811
1995Q2,109.9952
1995Q1,108.8336
1994Q4,107.8876
1994Q3,108.4179
1994Q2,105.9211
1994Q1,104.0615
1993Q4,103.6725
1993Q3,104.1823
1993Q2,108.4866
1993Q1,110.5735
