,MNA.Q.N.AT.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.BE.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.DE.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.DK.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.ES.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.FI.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.FR.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.GB.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.GR.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.IE.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.IT.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.LU.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.NL.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.PT.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N,MNA.Q.N.SE.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N
2015Q1,107.22,105.92,106.83,107.55,98.44,110.36,106.77,112.89,75.95,,96.34,,102.94,91.99,110.20
2014Q4,112.89,121.33,120.13,106.95,103.71,110.20,112.09,105.34,102.16,109.77,116.74,,110.64,101.39,111.30
2014Q3,105.34,99.20,108.49,103.34,96.71,109.27,105.90,103.19,85.34,106.36,91.88,104.37,99.32,96.94,109.20
2014Q2,111.81,113.95,108.16,107.86,101.74,108.93,107.13,104.40,86.63,108.41,101.13,106.52,120.33,99.51,113.79
2014Q1,105.85,106.96,104.34,105.78,97.67,109.15,105.48,112.49,75.35,107.50,95.14,105.07,102.02,91.57,107.55
2013Q4,111.01,120.89,117.15,105.06,104.22,108.02,110.67,103.23,102.62,106.80,116.18,121.16,107.23,108.34,109.68
2013Q3,103.56,98.16,105.80,101.75,96.91,108.48,104.67,101.68,85.59,103.96,91.22,102.12,97.33,96.28,106.97
2013Q2,109.68,113.29,105.47,106.36,101.92,107.47,105.58,105.07,89.79,103.46,100.70,104.20,118.70,96.60,110.63
2013Q1,103.82,104.71,101.44,104.06,98.13,107.58,103.73,109.62,77.53,101.88,93.97,101.82,100.60,93.59,105.20
2012Q4,108.81,118.24,114.83,104.03,101.19,106.46,109.18,100.83,110.68,100.66,114.04,116.75,106.16,103.71,108.09
2012Q3,101.56,95.55,103.83,100.52,96.28,106.00,102.94,100.60,92.74,101.55,90.30,98.02,95.23,93.66,105.39
2012Q2,107.28,110.31,103.75,104.72,102.07,106.08,103.88,101.31,96.77,101.78,100.81,100.79,116.44,93.61,109.07
2012Q1,101.67,102.02,99.53,102.68,98.48,107.33,102.12,109.17,83.25,104.00,94.28,98.98,97.86,89.60,102.80
2011Q4,105.80,114.46,111.98,101.89,105.44,104.80,106.94,100.09,113.71,103.75,115.48,114.16,104.05,108.54,104.16
2011Q3,98.75,92.68,101.22,98.78,97.27,104.85,100.54,97.62,94.53,101.70,91.25,97.18,93.00,94.06,102.34
2011Q2,104.46,105.92,101.00,103.72,102.59,101.91,101.61,99.29,97.28,100.34,102.82,99.37,113.83,100.10,105.71
2011Q1,99.18,99.14,97.34,101.35,97.95,102.78,100.06,106.99,86.06,99.12,94.35,97.66,96.22,90.10,100.48
2010Q4,103.72,111.39,109.26,101.01,104.26,102.60,104.36,98.25,113.56,100.57,115.49,112.02,102.10,111.11,101.91
2010Q3,96.76,89.43,98.56,97.65,96.06,101.01,98.62,96.42,95.97,99.58,90.67,96.47,91.37,96.39,98.57
2010Q2,102.29,103.34,97.64,101.76,102.25,98.02,99.41,98.97,98.18,99.82,101.53,97.46,112.22,102.06,102.28
2010Q1,97.23,95.85,94.53,99.59,97.42,98.36,97.61,106.36,92.29,100.03,92.31,94.05,94.31,90.44,97.24
2009Q4,102.13,109.20,106.33,96.75,104.73,99.84,102.23,96.91,120.97,102.11,114.11,108.15,100.54,110.32,98.86
2009Q3,95.82,88.57,96.08,95.71,96.77,98.25,95.95,93.66,101.98,102.17,88.84,94.62,91.27,94.22,96.94
2009Q2,101.04,101.96,95.11,98.92,101.40,96.00,96.19,95.42,102.47,104.20,97.66,96.33,112.46,99.01,100.25
2009Q1,96.75,95.09,92.60,96.38,96.51,97.28,94.65,100.54,84.91,107.21,90.56,92.77,94.10,88.32,95.31
2008Q4,100.72,108.50,106.41,96.64,101.42,97.44,99.91,92.69,111.45,110.76,112.56,106.17,98.53,106.49,96.66
2008Q3,94.16,87.42,95.85,92.77,92.81,95.60,94.61,91.44,98.78,104.56,87.90,92.75,89.20,92.73,94.04
2008Q2,99.56,100.84,95.12,95.51,96.35,94.77,95.05,92.93,99.56,103.65,97.60,95.25,109.14,96.59,97.60
2008Q1,94.96,93.47,91.84,92.29,91.65,95.91,93.37,102.29,87.33,101.37,91.01,92.03,92.12,86.68,92.72
