Time,M1,M3
1990 Q1,946591000000,2637361000000
1990 Q2,1016664000000,2788776000000
1990 Q3,1025650000000,2833827000000
1990 Q4,1128463000000,2979949000000
1991 Q1,1047676000000,2958242000000
1991 Q2,1091279000000,3015354000000
1991 Q3,1079023000000,3046743000000
1991 Q4,1171457000000,3204633000000
1992 Q1,1087449000000,3175420000000
1992 Q2,1125542000000,3254263000000
1992 Q3,1120234000000,3305736000000
1992 Q4,1215275000000,3433178000000
1993 Q1,1137567000000,3444200000000
1993 Q2,1180858000000,3484325000000
1993 Q3,1175545000000,3488618000000
1993 Q4,1287860000000,3651774000000
1994 Q1,1241312000000,3629400000000
1994 Q2,1278042000000,3651632000000
1994 Q3,1257383000000,3624824000000
1994 Q4,1343081000000,3735799000000
1995 Q1,1262191000000,3702886000000
1995 Q2,1303727000000,3759170000000
1995 Q3,1303692000000,3776711000000
1995 Q4,1423101000000,3937403000000
1996 Q1,1341316000000,3931433000000
1996 Q2,1395422000000,3966021000000
1996 Q3,1398051000000,3973985000000
1996 Q4,1528487000000,4090345000000
1997 Q1,1455677000000,4070899000000
1997 Q2,1524569000000,4139717000000
1997 Q3,1522876000000,4131073000000
1997 Q4,1626864000000,4265545000000
1998 Q1,1599617000000,4275050000000
1998 Q2,1686330000000,4357028000000
1998 Q3,1657140000000,4335145000000
1998 Q4,1785398000000,4471128000000
1999 Q1,1796445000000,4459586000000
1999 Q2,1886693000000,4555934000000
1999 Q3,1876545000000,4561347000000
1999 Q4,1972045000000,4708947000000
2000 Q1,1986051000000,4768884000000
2000 Q2,2024238000000,4805383000000
2000 Q3,2002243000000,4794882000000
2000 Q4,2084600000000,4910328000000
2001 Q1,2096001000000,5090546000000
2001 Q2,2191444000000,5216143000000
2001 Q3,2187299000000,5263161000000
2001 Q4,2278976000000,5446736520000
2002 Q1,2238652000000,5468342050000
2002 Q2,2349754000000,5569629060000
2002 Q3,2364441000000,5622654790000
2002 Q4,2499429000000,5807824780000
2003 Q1,2497509000000,5889675810000
2003 Q2,2605444000000,6020728130000
2003 Q3,2615593000000,6017975970000
2003 Q4,2727088000000,6180921540000
2004 Q1,2745527000000,6225883740000
2004 Q2,2833384000000,6334158160000
2004 Q3,2857107000000,6376641110000
2004 Q4,2948883000000,6568176120000
2005 Q1,2997572000000,6627775880000
2005 Q2,3304862000000,6837022790000
2005 Q3,3323148000000,6925241090000
2005 Q4,3482137000000,7130669730000
2006 Q1,3469610000000,7212918010000
2006 Q2,3600681000000,7407738780000
2006 Q3,3583870000000,7545767400000
2006 Q4,3758611000000,7802021620000
2007 Q1,3738987220000,8014722680000
2007 Q2,3849586570000,8242551330000
2007 Q3,3827756210000,8395520000000
2007 Q4,3901280060000,8691867210000
2008 Q1,3852527150000,8877517000000
2008 Q2,3914924930000,9077367300000
2008 Q3,3877016540000,9198871420000
2008 Q4,4035742350000,9423408090000
2009 Q1,4130771850000,9406757060000
2009 Q2,4311632660000,9456613810000
2009 Q3,4379347370000,9377479280000
2009 Q4,4556170830000,9381506940000
2010 Q1,4544317730000,9313208120000
2010 Q2,4713441280000,9256591270000
2010 Q3,4664406820000,9248129230000
2010 Q4,4754389920000,9320853350000
2011 Q1,4692934660000,9328820010000
2011 Q2,4769347300000,9404392890000
2011 Q3,4758478810000,9465986740000
2011 Q4,4866628050000,9535392830000
2012 Q1,4831828640000,9605914980000
2012 Q2,4958227650000,9683471750000
2012 Q3,5022850370000,9701779280000
2012 Q4,5168711390000,9809071670000
2013 Q1,5170370160000,9805940090000
2013 Q2,5309079720000,9850067650000
2013 Q3,5347615560000,9846917210000
2013 Q4,5444536000000,9852276000000
2014 Q1,5460987000000,9881404000000
2014 Q2,5558876000000,9988735000000
2014 Q3,5693406000000,10087847000000
2014 Q4,5956486000000,10315532000000
2015 Q1,6128664000000,10463249000000
