time, Money Market Rate, directeur,Euribor Rate 3M
1994 Q1,6.84,,
1994 Q2,6.37,,
1994 Q3,6.38333333333333,,
1994 Q4,6.50666666666667,,
1995 Q1,6.94333333333333,,
1995 Q2,7.13666666666667,,
1995 Q3,6.69333333333333,,
1995 Q4,6.50666666666667,,
1996 Q1,5.63,,
1996 Q2,5.13666666666667,,
1996 Q3,5,,
1996 Q4,4.58666666666667,,
1997 Q1,4.44,,
1997 Q2,4.32666666666667,,
1997 Q3,4.32333333333333,,
1997 Q4,4.43333333333333,,
1998 Q1,4.20333333333333,,
1998 Q2,4.05666666666667,,
1998 Q3,3.93666666666667,,
1998 Q4,3.62333333333333,,
1999 Q1,3.09236666666667,3,3.09014016666667
1999 Q2,2.63406666666667,2.5,2.63346933333333
1999 Q3,2.6994,2.5,2.69835333333333
1999 Q4,3.42826666666667,3,3.42963
2000 Q1,3.54236666666667,3.5,3.52833666666667
2000 Q2,4.26036666666667,4.25,4.33467
2000 Q3,4.7376,4.5,4.73547333333333
2000 Q4,5.02223333333333,4.75,5.02156
2001 Q1,4.74626666666667,4.75,4.74252
2001 Q2,4.59506666666667,4.5,4.59074
2001 Q3,4.2678,3.75,4.26661
2001 Q4,3.44253333333333,3.25,3.4421
2002 Q1,3.34666666666667,3.25,3.36153
2002 Q2,3.39333333333333,3.25,3.44379333333333
2002 Q3,3.29666666666667,3.25,3.35539
2002 Q4,3,2.75,3.10536333333333
2003 Q1,2.60333333333333,2.5,2.68061333333333
2003 Q2,2.28666666666667,2,2.36162
2003 Q3,2.07666666666667,2,2.1369
2003 Q4,2.08,2,2.14713666666667
2004 Q1,2.00333333333333,2,2.06093
2004 Q2,2.02666666666667,2,2.08177
2004 Q3,2.06,2,2.11587333333333
2004 Q4,2.09333333333333,2,2.16353666666667
2005 Q1,2.08,2,2.13920333333333
2005 Q2,2.06666666666667,2,2.12479
2005 Q3,2.07666666666667,2,2.13080333333333
2005 Q4,2.27,2.25,2.34308666666667
2006 Q1,2.54333333333333,2.5,2.61224666666667
2006 Q2,2.81333333333333,2.75,2.89013
2006 Q3,3.14666666666667,3,3.22168666666667
2006 Q4,3.52,3.5,3.59475
2007 Q1,3.75333333333333,3.75,3.82097
2007 Q2,4,4,4.06483333333333
2007 Q3,4.13,4,4.50313
2007 Q4,4.04,4,4.72213333333333
2008 Q1,3.98666666666667,4,4.48063
2008 Q2,4.1,4,4.859935
2008 Q3,4.35666666666667,4.25,4.9773
2008 Q4,2.68666666666667,2.5,4.20979
2009 Q1,1.11,1.5,2.00955666666667
2009 Q2,0.79,1,1.31063333333333
2009 Q3,0.446666666666667,1,0.8692
2009 Q4,0.433333333333333,1,0.7219
2010 Q1,0.36,1,0.662166666666667
2010 Q2,0.37,1,0.686266666666667
2010 Q3,0.503333333333333,1,0.874933333333333
2010 Q4,0.691782608666667,1,1.02046666666667
2011 Q1,0.777348723257419,1,1.09313333333333
2011 Q2,1.14300637958533,1.25,1.41163333333333
2011 Q3,0.931285714285713,1.5,1.56206666666667
2011 Q4,0.412333333333333,1,1.49556666666667
2012 Q1,0.145810245310245,1,1.04293333333333
2012 Q2,0.12112962962963,1,0.696033333333333
2012 Q3,-0.00266666666666667,0.75,0.358566666666667
2012 Q4,-0.00833333333333333,0.75,0.1951
2013 Q1,0.0193333333333333,0.75,0.211466666666667
2013 Q2,0.0186666666666667,0.5,0.2068
2013 Q3,0.0503333333333333,0.5,0.2235
2013 Q4,0.0936666666666667,0.25,0.2409
2014 Q1,0.141666666666667,0.25,0.0482
2014 Q2,0.125333333333333,0.15,0.298566666666667
2014 Q3,0,0.05,0.164566666666667
2014 Q4,-0.0471833333333333,0.05,0.0814666666666667
2015 Q1,,0.05,0.0460333333333333
